,video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id,valid
0,8wsyxnjIA1A,"KIA und der neue EV6, ein Sportwagen mit Extras Tagesthema Elektromobilität Nr.330",2021-04-01T15:00:04Z,UCHuXYLIv70fPKK9c60TwLQw,295,14.0,1,0,0,comment threshold
1,vYzSzy6IwRI,E-AUTO mit 100% WASSERKRAFT laden | Prototyp nutzt Hydrotrick,2021-04-01T08:00:27Z,UCaCaZ-vKtnMG2_FKmEePChQ,4217,493.0,193,0,0,valid
2,-phgTe_17Es,"eMobility update: Mercedes eSprinter, Opel Zafira-e Life, Wallbox-Förderung, E-Taxis in Hamburg, VW",2021-04-01T10:00:13Z,UC_vO01sSD25a73DhoaxtZTw,3968,298.0,17,0,0,comment threshold
3,Ad8knG-9l2A,"Breaking Elektro-News: Xiaomi plant Elektroauto, BMW verschläft E-Mobilität nicht, FFM E-Parkhaus 😤",2021-04-01T05:00:02Z,UCsNdsFTTBj5jcRJSWeJ8-Xg,7432,613.0,129,0,0,valid
4,-_8uYMLEaNI,Wie (un)nachhaltig bin ich? - Meine Erfahrungen,2021-04-01T15:00:01Z,UCO5j2t3tvsPtef3iq9k5yTQ,813,98.0,41,0,0,comment threshold
5,SVyPVVXFpkU,"Model 3 Facelift (SR & LR): Analyse der Tests in der AMS und AutoZeitung, Vampirverbräuche, News",2021-04-01T16:15:55Z,UCasePAQ_q7tbUGybICCj4NQ,5530,342.0,88,0,0,valid
6,tFZWY9bYITo,Kfz-Mechatroniker für System- und Hochvolttechnik 🚗,2021-04-01T16:30:03Z,UCfTZ5BV0sYIJ8qmsCYyXRfg,21071,104.0,22,0,0,comment threshold
7,ryGmDAaAbGE,Im Polestar 1 zur Eröffnung des Polestar Space Hamburg | 163 Grad,2021-04-01T16:18:21Z,UCbe4BpM5-Ta7MIlbKOofTDA,4657,390.0,48,0,0,comment threshold
8,Qev-gDFxK2E,Tesla Toyota? Koreanische Zeitung berichtet mögliche Kooperation Tagesthema Elektromobilität Nr.331,2021-04-02T15:00:10Z,UCHuXYLIv70fPKK9c60TwLQw,186,25.0,1,0,0,comment threshold
9,z67yc8r2WNw,"Probleme und Mängel an meinem Audi E-Tron, Update nach dem 3. Werkstattaufenthalt",2021-04-02T17:11:32Z,UCddkvrnYqGRfODPMUQqisiw,6389,291.0,89,0,0,valid
10,CmQxra9VxDU,"Aiways U5 im Test   jetzt kommen die Chinesen! Kosten, Verbrauch Rundumschlag!",2021-04-02T17:03:26Z,UCH0_5UeOyvhmvbxTJg9Jdww,48835,123.0,40,0,0,comment threshold
11,71SbVFBhaZk,STAT E-STICS #12 | KIA EV6 und alle Elektroauto-Neuheiten bis 2024,2021-04-02T15:30:01Z,UCDDj2GWklzZ09X7R9OtsX3Q,38400,508.0,99,0,0,valid
12,WncstCwFQt8,150 KW Ladesäule am Supermarkt für Elektroautos. Mein Test!,2021-04-02T07:28:16Z,UCVUBc0WF5X-w3T8s6Wyx-jw,6248,378.0,99,0,0,valid
13,qgDJ3CHku5c,SORGE vieler E-AUTO Fahrer?! Notladekabel von LAPP - Mobile Ladestation oder WALLBOX-light?,2021-04-02T09:10:22Z,UCUYT5ThWuRNWAbV0nul7EGQ,3902,108.0,28,0,0,comment threshold
14,wraFNjQLXfs,3 exklusive Nissan Qashqai Sondermodelle | Viel #Qashqai beim Run Out,2021-04-02T18:28:47Z,UCBTJnSirNI8kwOn5ROB_BGA,4515,29.0,9,0,0,comment threshold
15,eCnEL5gPODg,Solaranlage mieten statt kaufen: Macht das Sinn?,2021-04-02T15:00:15Z,UCO5j2t3tvsPtef3iq9k5yTQ,6613,126.0,49,0,0,comment threshold
16,1cxNcusipnY,Elektroauto auf Langstrecke - wie lang braucht das Stadt SUV MX-30 für 500km?,2021-04-03T07:30:01Z,UCaTyFx9Llt5nQRAFjZyowow,3413,122.0,33,0,0,comment threshold
