,video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id,valid
0,0lQu22zj2bU,QuerTalk#8 Mach-E | Elektromobilität | Fahrzeuge dieses Jahr,2021-08-01T17:00:00Z,UC7ry14PdHTGHxoVJY1wAKtg,320,14.0,22,0,0,comment threshold
1,ud-WEThtngw,Zukunft der E-Community | Chancen & Herausforderungen | Auf dem Weg zum Mainstream,2021-08-01T18:31:59Z,UCaCaZ-vKtnMG2_FKmEePChQ,3111,257.0,21,0,0,comment threshold
2,29HaKUp7AQ8,Trier Ausflug im Mustang Mach E und eine Ladesäule die nicht existiert! Porta Nigra - Trierer Dom,2021-08-01T07:30:00Z,UCVUBc0WF5X-w3T8s6Wyx-jw,6434,488.0,156,0,0,valid
3,WqZ4sAuE7oY,"Mercedes nur noch elektrisch, Akku Revolution von CATL, Aiways U6, Tesla Supercharger für alle",2021-08-01T07:00:17Z,UCBc0Mghy-6jhMXs3T7DluMg,12392,787.0,91,0,0,valid
4,k7PhWCwtpZg,VW ID.3 Pure 45 kWh Basismodell | Unsere Meinung! | REVIEW | Außen Innen Laden Fahren | CHRIS GRNWLD,2021-08-01T07:00:15Z,UCa52eJdI5AUi_JjFqlt1uvw,14474,487.0,297,0,0,valid
5,nuD5rGHp0Ig,Audi Q4 40 etron - die Bestellung. Mit Blick auf die Innenraumqualität e-Golf.,2021-08-01T13:00:20Z,UCL8Dn9UFf9KbGgBArk05yBw,8162,33.0,13,0,0,comment threshold
6,_RNYK-BVhkM,Neuenrade Demo gegen Motorrad fahr verbote,2021-08-01T08:54:17Z,UCPDbDIPgpPDY0IvpIAMMuZQ,491,23.0,23,0,0,comment threshold
7,Jkekl_m1dC4,Zwickau auf dem Weg zur Elektromobilität,2021-08-02T14:24:56Z,UCpCH7b9KtdcQY0duusx4Xng,361,1.0,3,0,0,comment threshold
8,gI1LG8cy4dg,Tesla PARKUNFALL - Wie Teuer Wird's? (Gutachter Kommt),2021-08-02T13:18:26Z,UC3rz4cx41jWj7shRBTetzkw,55684,2417.0,413,0,0,valid
9,f3Ut5i31D2E,E-AUTO mit TOTALSCHADEN  |  Was passiert nach einem Unfall?,2021-08-02T13:30:07Z,UCaCaZ-vKtnMG2_FKmEePChQ,8256,673.0,99,0,0,valid
10,nLJR6BAf4so,Klare Ansage von Markus Wipperfürth zum Thema YouTube-Videos,2021-08-02T15:00:32Z,UCddkvrnYqGRfODPMUQqisiw,12723,508.0,69,0,0,Topic
11,PxuDvyzRN8w,Einfaches Laden wie bei Tesla mit Ionity? Mustang Mach E Plug&Charge,2021-08-02T09:00:15Z,UCVUBc0WF5X-w3T8s6Wyx-jw,13154,785.0,355,0,0,valid
12,_TNOAldhMoQ,"Allianz stürzt ab, Tesla, BYD gefragt, Bitcoin unter $40.000 (Livestream Aufnahme)",2021-08-02T07:49:55Z,UC_SxfCXZUfnqDlPDXXBLhNw,601,11.0,1,0,0,comment threshold
13,rTSfOhCoZGg,Nun Drohen Sie direkt. MP Kretschmann doch hört selbst.,2021-08-02T16:05:47Z,UCfdyxLzrWITne430bIZS63Q,95,,1,0,0,comment threshold
14,QQh2rURYrTk,Warum es mir manchmal schwerfällt die Elektromobilität zu mögen,2021-08-03T15:00:30Z,UCddkvrnYqGRfODPMUQqisiw,5234,291.0,97,0,0,valid
15,_xbBcPYXkYY,KLIMASCHUTZ-SOFORTPROGRAMM der Grünen - Was bedeutet das für die Elektromobilität?,2021-08-03T13:26:40Z,UCaCaZ-vKtnMG2_FKmEePChQ,3524,434.0,207,0,0,valid
16,KM_sxRooph4,TEIL 2 - 514.000 km Batterie (SOH) Test | Wie lange hält ein Elektroauto,2021-08-03T15:54:21Z,UCDDj2GWklzZ09X7R9OtsX3Q,15512,864.0,184,0,0,valid
17,pIORSj09f5M,Turbolader und Ladeluftkühler Tausch mit den Autodoktoren,2021-08-03T19:00:14Z,UCpxKZ7gxme55aElZpj1oowQ,31196,197.0,3,0,0,comment threshold
18,wAL7KNexu7k,Hat die Elektromobilität das Wasserstoffauto gekillt Ein Nachruf auf den Brennstoffzellen PKW,2021-08-04T21:57:44Z,UCw3hxTuZiV3sx2JWWg272yA,43,3.0,1,0,0,comment threshold
19,8bvtoe-vLM8,"Schreitbagger im Katastropheneinsatz, dann riefen die Beamten an",2021-08-04T08:30:33Z,UCddkvrnYqGRfODPMUQqisiw,216035,6704.0,1192,0,0,Topic
20,XG4KJe4XhaE,(2021) MG EHS Luxury -  Das fett ausgestattete Kompakt-SUV aus China kann überzeugen - Test I Review,2021-08-04T15:18:19Z,UCEIpQSFT56hXhH2SEwuqX4Q,6863,140.0,30,0,0,comment threshold
21,Svel2APRx4w,Der VW ID.4 im Test // IMTEST,2021-08-04T16:00:16Z,UCUPajFGHctfoXibQI5Km_Zg,2214,28.0,11,0,0,comment threshold
22,x_sM9ekvqIY,"""Gelsenkirchen erklärt"" - Elektrobusse",2021-08-04T10:24:09Z,UChG7oqYuWxtgXgpHd45MQXA,576,13.0,5,0,0,comment threshold
23,BSb-eHT1CuM,Ford Mustang Mach E AWD im Effizienztest. Wie ist der Stadtverbrauch?,2021-08-04T09:00:09Z,UCVUBc0WF5X-w3T8s6Wyx-jw,6789,463.0,276,0,0,valid
24,cKyfVlKb-lg,"Tour Stories - Freiburg, Stuttgart, Nürnberg - Tour Vlog 1| Sono Motors",2021-08-04T15:40:58Z,UCgr6ujQaJITyWAXVrHjGGWQ,10171,330.0,52,0,0,valid
25,Dc1-a_RzBzo,Natrium-Ionen-Batterie für Elektroautos - Revolution oder Evolution der Stromspeicher?,2021-08-04T18:05:48Z,UC-k-5F2j4CUzuwkx1QLRlpA,5885,415.0,54,0,0,valid
26,HSQXR8FiMoE,China: Unternehmensregulierungen vs. Marktchancen,2021-08-04T10:32:16Z,UC62IIFhchBWQxLPSyUatD-A,2955,47.0,4,0,0,comment threshold
27,0fVyGuxvqYc,"Breaking Elektro-News: Tesla erhöht Ladepreise, Ford setzt auf E-Mobilität, Elektroautos ON THE RISE",2021-08-05T05:00:00Z,UCsNdsFTTBj5jcRJSWeJ8-Xg,8438,679.0,173,0,0,valid
