,video_id,job,id
2,29HaKUp7AQ8,0,0
3,WqZ4sAuE7oY,0,0
4,k7PhWCwtpZg,0,0
8,gI1LG8cy4dg,0,0
9,f3Ut5i31D2E,0,0
11,PxuDvyzRN8w,0,0
14,QQh2rURYrTk,0,0
15,_xbBcPYXkYY,0,0
16,KM_sxRooph4,0,0
23,BSb-eHT1CuM,0,0
24,cKyfVlKb-lg,0,0
25,Dc1-a_RzBzo,0,0
27,0fVyGuxvqYc,0,0
31,mIydMWv_if4,0,0
32,MSrWEnnfFz8,0,0
35,VoF2PI3qu78,0,0
36,tpILt7z4lpE,0,0
42,rkpITUHJUIM,0,0
49,dl5OnyoLUdw,0,0
60,12YVglvtGKo,0,0
61,JyYrT8qC3TU,0,0
62,rs2ibI46ZI8,0,0
66,tMMIaliWjCc,0,0
70,NBqpbtTfliI,0,0
72,zBHteYmg_rQ,0,0
76,Y4p9AlSKj2M,0,0
82,PFrnNV448wk,0,0
83,oXrx5ynHkNw,0,0
88,sldH4ETpbSU,0,0
89,SKaP1sqYrxM,0,0
93,GR7ghX_waKc,0,0
94,zGeDsY2CO3I,0,0
103,_X7nBSaMBjA,0,0
106,GftgbwqG_Xc,0,0
115,OnZZtgsHS3E,0,0
118,hAqLmQdRFQE,0,0
121,Ny67WJtW4Yw,0,0
122,EOHJ9au5gI8,0,0
124,HIPcxPUSFPE,0,0
125,bw2aof06JcI,0,0
126,5oSTQcLVBrQ,0,0
130,1BtkYuCqn74,0,0
131,S57k0_xJcIk,0,0
132,zAmJRP7Gn4g,0,0
133,tEP5U6U7cvA,0,0
139,XuWHN-mjE20,0,0
141,b6V0XVtW3uM,0,0
147,BCskGwtV8O8,0,0
153,-lJ_kyg-svY,0,0
154,UenJ7YVHRb0,0,0
156,rARCTCMP8PE,0,0
163,Xm_gck8INsM,0,0
166,vDO77iVYnBs,0,0
168,dQcMZaebQtc,0,0
171,KCK61uxtZ9U,0,0
175,iBWnl6zC6Oo,0,0
179,ux8STeu1fqg,0,0
182,dFDcq67RkTI,0,0
183,-z0tdIaehSk,0,0
185,DB67n8Ik9vo,0,0
186,q_OLywAjSaI,0,0
188,ZmeZb20KCdc,0,0
190,sCMWPiiUtPw,0,0
192,lEZqMCzwE4Y,0,0
196,cA3o2pGmVz0,0,0
197,TW6c6f0L9ho,0,0
199,RTEDRoE4H70,0,0
200,J3u9zDEbNz0,0,0
201,-XRgxtg6jBw,0,0
202,6wof7KKpAvI,0,0
207,deBAjiuj9ag,0,0
209,jiItjrtQybQ,0,0
211,-87WeYjeKek,0,0
213,H_T2c5TIWEo,0,0
214,Hto-AuQKloQ,0,0
222,436HkXOpjE8,0,0
224,k7gVMy20cQU,0,0
228,xfMzc1bl_gs,0,0
229,wYTM_vqqj48,0,0
230,Wuj3zkEBHY4,0,0
231,uppzPlBSyrc,0,0
236,YRmxuVrk16g,0,0
237,SWRVwV65kbw,0,0
243,qBp83-zaFyc,0,0
244,tLtSOkYuUjU,0,0
245,HgsJnswWd18,0,0
246,QUTckLHpz04,0,0
254,WSQhcCo76mM,0,0
257,q7RmPwUvh-w,0,0
259,-9bKI8jzA7Q,0,0
260,beGYhQmCSeA,0,0
264,hSjnljdCTas,0,0
267,48TQGiKAx1w,0,0
268,aqAg623-Mb4,0,0
269,5p12r61hlo8,0,0
271,B8dsJZWTNgU,0,0
273,i9Do4TXEV4U,0,0
274,LQv9tF0xP0w,0,0
275,5oB4kh3d_Xk,0,0
278,KefvLIsHOTQ,0,0
279,R107AIvU_-A,0,0
280,u6yxopYIlaA,0,0
281,aDm9aRWOcFE,0,0
282,8FZ5pa28Rj8,0,0
284,vZXfN6GMC-E,0,0
285,9TkH9ceIeQ4,0,0
290,ujQzQprU5Ns,0,0
291,KsXmAeZUj_I,0,0
292,3ZFcj31E_uY,0,0
298,On3dZC1LAUY,0,0
299,LQe4iHpoYxI,0,0
301,3lQyZcoQkjg,0,0
304,n3Hhf-nZrRw,0,0
307,0XDdyB4Df38,0,0
309,SwbZkGB3OJ4,0,0
311,0_ZFj7pvnj0,0,0
312,589gCsF9zaM,0,0
313,immXXdC0egQ,0,0
314,7WXJnOiFxH8,0,0
315,J11hJKxbAfo,0,0
316,IsxBPW3izkk,0,0
318,BphTTO1oF9Y,0,0
325,-2BBDahWdfE,0,0
327,llrcA1V9i2I,0,0
332,siY_974WZEc,0,0
338,f7AZmL6kZdY,0,0
341,KtnwKFYsObU,0,0
342,fM0TQInsERE,0,0
343,QKzuwUxwiSM,0,0
353,Z6tj-CJC-Pw,0,0
354,wPlVwP-jC4w,0,0
356,8AvkGJ_QWNo,0,0
362,FFZdW7Hy-pA,0,0
363,RnA-etLB9xc,0,0
365,W7KTlbBRxrQ,0,0
366,yLx1iZN_2nA,0,0
367,2xL7cEOxsbo,0,0
369,iMCZ_hIU4ww,0,0
371,OqX_9RRcr9A,0,0
372,q4SFiGar31I,0,0
373,obvHsXq4LXE,0,0
382,adfoqy3Mz5M,0,0
388,Ii-YmdPjMCQ,0,0
389,y8QJeKQvkQc,0,0
391,88IcqAxZTd4,0,0
397,q9_ByIgqiDY,0,0
400,oUO5Ty-xTOg,0,0
402,7Pleo03v300,0,0
403,S4RNE5pRc00,0,0
404,PAMyXKCZCNk,0,0
405,ikmxHkux4d8,0,0
409,r-VAKt5Y0eY,0,0
411,j_tUsIuwy_M,0,0
412,VEomAEp-haY,0,0
413,5tvkFbrlhSA,0,0
414,RSrzdcRpO78,0,0
417,XL6mq4kjIUg,0,0
419,nUT0MU3j1Ds,0,0
423,rt9kL7v9p-I,0,0
425,FU7skSPvqis,0,0
429,pL7B7bOs9vM,0,0
431,1nIhAYtPRww,0,0
435,_2sN5md8u4E,0,0
440,bKF-onwsnx8,0,0
442,CcF1sS-THjw,0,0
444,6RL7fg-M2FU,0,0
454,ViWPRxVGtig,0,0
463,S57LcWIXX7A,0,0
465,M8sMryhw5Og,0,0
467,omf9Hk_u-R4,0,0
471,jYf0J-0VL8U,0,0
476,GdZ8aDOmkMc,0,0
