,video_id,job,id
3,pA51MCMbKzs,0,0
4,ecAvHlpX2A4,0,0
6,0QySOunWK2I,0,0
12,1ExOT9eqRDs,0,0
13,sxSrDDQoTG4,0,0
15,b8C2ckxs5oM,0,0
16,9N05pHUymtM,0,0
18,NuY5rf7TzHk,0,0
19,nJeT3jxUfo8,0,0
22,cMCJqGb0zuU,0,0
24,uvLiAPS_eeY,0,0
25,kV7c5OATnq4,0,0
31,uJ8UdCC6H7s,0,0
35,wl2lUWBUy-U,0,0
38,5NYGAA5sZ7U,0,0
40,timIQDm59pc,0,0
41,JmcfFIG38F8,0,0
42,uz7guJbekFk,0,0
43,DzcQe_yDYQ4,0,0
44,O9SjihbeqKc,0,0
46,VhaSgx64Tpg,0,0
47,kT55bFpMDnw,0,0
49,aAJRIHyJblk,0,0
52,83lpz2xW3aU,0,0
54,jt_OZzJ5xcA,0,0
55,rrH6TY-Vk3U,0,0
57,9qBnbIGMBkU,0,0
60,EwfH_GvYDlI,0,0
69,-T5NI2m_BHM,0,0
71,-ciEOnCFPl8,0,0
77,TnT2CzW2T14,0,0
78,ur5dyiuVCEw,0,0
83,PQgkTCiaQe8,0,0
86,h4JryU8VTbg,0,0
88,07YHZGKRHUE,0,0
89,HZngW_uz-2Y,0,0
90,t9NyUz51OD4,0,0
91,TVGMGJnJ6ms,0,0
93,pXWCXTt2pOk,0,0
99,ZENkNY7aV5Q,0,0
100,4CCu_GNbY6M,0,0
101,e0c5EGpjXIY,0,0
103,j1hTbpdzmf4,0,0
104,QZYeZfO7lVg,0,0
108,NGjSGqg-G40,0,0
111,iazNUJR_7Mc,0,0
113,hGF8p_7k1GU,0,0
114,ipiB6XnHueg,0,0
115,2F3o-x2mOEA,0,0
116,wkC0A7HUuwI,0,0
118,Hd0XIs8zskk,0,0
120,QmaFloBajrg,0,0
125,4Ij1U3fJiwE,0,0
128,ED2T2fJfqBc,0,0
131,o7n3JCq0kbc,0,0
132,RJhg9A1nETQ,0,0
141,vb-mX0aXcbY,0,0
145,q656b3IVy4E,0,0
147,twnD68nvQm0,0,0
149,WquJYE-N0tU,0,0
150,6MRbOkrqQ58,0,0
151,lm5kazAAAXQ,0,0
156,CYhdflUsNnk,0,0
159,Xpze2ZS6Vck,0,0
161,4gn7o5nhIgE,0,0
170,X3-6ZfBnlzw,0,0
171,cy6yae8OgOE,0,0
178,dEI_J01pSEA,0,0
179,LUO89oYUTic,0,0
183,t_Ut5Sst81s,0,0
188,mS3mXlkxa5g,0,0
193,VzjTKnvnCJ8,0,0
195,5PdBxwJvSXk,0,0
208,RH7A02VOLHA,0,0
209,5LzFBwyBGm4,0,0
210,hTXxfuSDv6c,0,0
215,JnCOUz5fYfE,0,0
217,KpFQM5kiKEQ,0,0
222,J2GqFvivs1E,0,0
226,8k4HZme3Hm8,0,0
227,5B6Ofs-z5as,0,0
228,jp3qExjVOqw,0,0
229,uq_jQlfKlK8,0,0
233,N2dcqXZy1U8,0,0
235,GvwZ61_LKAQ,0,0
246,fC3OY6K0wm4,0,0
249,Mm6n9FUm5f8,0,0
251,rHiJcviQqP0,0,0
253,nT-0_cUqChw,0,0
254,LTsYGvvmJ3w,0,0
258,1-1H-ULGIGA,0,0
259,8k0kwdaiKOQ,0,0
269,66j0XiuluA0,0,0
270,IxsBNjLPOlI,0,0
271,6_XdVBIeAG8,0,0
274,u7_0FG-EHTY,0,0
275,ASGs3n4S3Iw,0,0
282,ku2UAFjddO0,0,0
284,oje_GI7NyLM,0,0
285,zTaDgZdHZd4,0,0
287,Ovnwc8L__-A,0,0
288,fMiNmNJvJMw,0,0
289,-FVumMkl3yI,0,0
299,CKZdKenk2K0,0,0
300,UVJEf7HGLGk,0,0
302,y9tqgHSKv4o,0,0
307,J9dqtZWRtJI,0,0
313,7_RiUBzFK5Q,0,0
314,gus4jRwrZWM,0,0
315,unU7BQfcKag,0,0
318,I0oObkqPXwc,0,0
319,ZC2QL4DzfA0,0,0
325,GC6dUdP7bww,0,0
329,v1vlVQmRmmc,0,0
333,6OnOGJCNIlY,0,0
338,cI8R0jieTFs,0,0
339,qNuqT-_IjDg,0,0
347,Whn0uiUunLE,0,0
348,WhbbXsPpARs,0,0
349,rqZBCGTcFBg,0,0
355,SAYqvYoefnU,0,0
359,pL5TFm58mqU,0,0
360,YsKxs_KtVao,0,0
365,ZROK4LyJqjI,0,0
371,AYSRgMiDRaU,0,0
379,aoOgg8JHNEg,0,0
381,WmC3F9lsA80,0,0
384,Xm0nsXYfGVw,0,0
389,8A6_aAsXmYs,0,0
391,fVoUiZvyeT8,0,0
396,AxU73RYFdG4,0,0
397,vF7oSaQ_uPE,0,0
403,1DfiER5bCJM,0,0
405,vxTdghha6GU,0,0
406,nu-7o1MMo6Q,0,0
411,r4Re-pnq9l8,0,0
413,TOjNdh1aMv0,0,0
416,y9tZIAGPCLI,0,0
418,NCsFfVJDXQ4,0,0
419,EEPcY8QsxS0,0,0
422,jSHkrM5B4uQ,0,0
423,vVVkcCJHUEs,0,0
425,TexI1o6I79U,0,0
429,qpb2LzHPn70,0,0
431,E2-S0xstOsU,0,0
436,zu3AmPg405g,0,0
437,Lqi3LiFIj_A,0,0
440,DQMVPGLmw-M,0,0
442,JuopGddpkT8,0,0
444,_NLBVv06imQ,0,0
446,8tmXpEj0shc,0,0
450,WBQrzUTbx1k,0,0
453,AKrwq9eppgs,0,0
454,WbM3WUF7ZlI,0,0
465,JakFrznjBJU,0,0
467,LWr6yg7H6HE,0,0
468,Y5hj05jbvPA,0,0
470,__C3j4cGfj0,0,0
471,OzZOFn1Jafs,0,0
473,RbBXoPn4OIk,0,0
474,weEDGoeCbgQ,0,0
475,0FycS_FLduI,0,0
476,7BQO2GSE9wQ,0,0
480,AL0LIpZ6Nw8,0,0
483,QqpHQWbLggs,0,0
484,fZFe6iaOJhQ,0,0
486,7GDpEWRMcSs,0,0
488,Dg9vG6kRp-Q,0,0
489,kwgJKOx2Trk,0,0
490,0xGoy6zTcJY,0,0
494,AyEnPl5G1fs,0,0
496,mBGAFC1qci8,0,0
502,L-iFnZQZTkQ,0,0
505,MRVHktBlNY0,0,0
509,SPux8Vr0m8M,0,0
510,c0omRo_yDVs,0,0
511,hAB3zYIMF9Y,0,0
516,vuVUhjQva3E,0,0
517,NyHnW-IkkS8,0,0
524,Q7gnqbPjeVk,0,0
527,daf97hfa6Ms,0,0
530,JeCshTdeA5M,0,0
