,video_id,job,id
2,-cYrpmvTChQ,0,0
10,EiDsZ8Pwx5s,0,0
12,xj_CgQzdtWg,0,0
16,aYbinqx0PTE,0,0
26,Wbs5AHBhVKU,0,0
27,8EGEe3Z09AI,0,0
28,GdNJFHVl96w,0,0
37,N5GpslFajJ8,0,0
39,XsoNs0AyNKo,0,0
40,6bfdb5SNEiM,0,0
41,GTTqly2nOfk,0,0
45,vmHgThdL-Qg,0,0
46,Q4tIaDdgtmI,0,0
47,g__XrHClcjg,0,0
53,KOHjlQbOL10,0,0
55,4Oaxy_1sBM4,0,0
57,mjVxvEk6RO0,0,0
59,pX377FZEuJY,0,0
60,ob63wlUOBkA,0,0
65,4t_e-eirxA8,0,0
68,6mVsOHhdIes,0,0
75,FSxHy5Z3b3A,0,0
77,-4Vrp4HDE7o,0,0
82,6_j60Gq-LK8,0,0
83,hujKAqTM8GA,0,0
84,7lAfvtFec0U,0,0
87,6U_f4F_R8M0,0,0
88,DXLXZetThbY,0,0
91,aQKBfoqCp50,0,0
100,VEX7N9eAXAo,0,0
104,QqbICz7qHdQ,0,0
106,LAnlF7OdIS4,0,0
107,56uI10pKTv4,0,0
108,0auNM-dJQ3E,0,0
111,gWxKAn2Elmc,0,0
114,6UyLR0t8C7k,0,0
119,LMDVs5hLguA,0,0
123,2KrzRwsD87Q,0,0
124,rzIGsiB4CXs,0,0
125,uRIs_f4V9_A,0,0
129,jI6vL2RkTpE,0,0
130,vZii7mlIR-s,0,0
132,GQWqDCc731o,0,0
135,OeMpOdHlZZo,0,0
136,bResSQNPP0g,0,0
138,YSdyRSdA3To,0,0
142,K4l9jN-7OZw,0,0
144,3nheAIbb89A,0,0
145,qlj9UM1akwg,0,0
149,IhCMu0ma870,0,0
150,eJWtUUf6nEU,0,0
152,PPwV_rhuojs,0,0
154,EvNTXg2m6cA,0,0
157,MhsSGG1FC48,0,0
164,xsqhVKQB8oA,0,0
165,kiij_vEN3ek,0,0
168,MJ8BKznHpb0,0,0
174,yUPixeGv5oE,0,0
176,qHpUbe-7WOI,0,0
178,Qb6sAQkadd4,0,0
181,kqryqOVC97s,0,0
182,0iU77VbUfso,0,0
191,Jo-cnLPgjlc,0,0
195,C7a7il1k_fk,0,0
196,mgZ3QMpa6TY,0,0
197,7cu8KvxrLQE,0,0
199,bSXLs3fpfvY,0,0
202,jeaia7pU7h4,0,0
206,Im9YQe1OUf4,0,0
207,kXqPWDZvmng,0,0
213,Wmy3vhxCZ14,0,0
219,ycb9CblXCrU,0,0
230,TuJRHeEyV7Q,0,0
231,Fyjjdo1C2BA,0,0
233,38Mqc41uBrw,0,0
234,S8nUt2u-oJs,0,0
237,twldHAk6HGs,0,0
238,mAC2Yyzivyw,0,0
242,zw98dc9GEUw,0,0
243,nv6yv8YTNJ0,0,0
244,de_4KpJKrxs,0,0
245,MbHnua4Op-Y,0,0
250,NIT-1QSAgJs,0,0
253,p67FEsZ7_sY,0,0
259,iHWNqxXXFhU,0,0
260,jyV29EJ_DnM,0,0
262,YC-q89WFklE,0,0
265,bfOlvXIGJFI,0,0
266,7QBI5dGJMSM,0,0
267,NykdNF7z5cU,0,0
269,NG-p6oVvYj8,0,0
274,aHqoK-HMvIA,0,0
276,hjr3nLRiYCw,0,0
277,3IfPu4Wv014,0,0
279,vCwVNiKpPkc,0,0
281,d0nHSCj7wU8,0,0
283,rx2kBQAEw7Q,0,0
288,5yfMNhkohIs,0,0
291,nSzSMjCZaEA,0,0
293,HbOUduNVMmI,0,0
294,vzd6kiCszZs,0,0
295,JA4lneRbX5s,0,0
300,Aun-yeYHf_g,0,0
302,_Fu2NakKljs,0,0
304,LD8eYiJOetc,0,0
308,_8B6dDG5i3c,0,0
309,5lBIaB7pNAA,0,0
310,wnAmvDdIxo0,0,0
312,3AzyLk1j6Ek,0,0
313,NJPuVRhupSA,0,0
320,Vz-RQJg7Sh0,0,0
321,9GdLZML8go4,0,0
333,7owmy1th9VY,0,0
335,P_WVUAAaLSU,0,0
338,Rw0lTiIjLKo,0,0
339,QRz_x98olbE,0,0
341,HEKATfoE-K8,0,0
344,kRRN-CHbJsc,0,0
345,fqzrkY8ROKs,0,0
346,RngdpPw2lIU,0,0
347,TqCuX8IY76s,0,0
348,GNZKZC4q6H0,0,0
353,Tf8tvPVwzbE,0,0
356,1b5wkZDSiD0,0,0
364,1B8zavM04GQ,0,0
365,7BaXD_KoGso,0,0
368,uPKzVc4KiFw,0,0
369,ulvDhyt3Gqs,0,0
370,zTWKPpg6a1A,0,0
373,Dkm366pyGwA,0,0
374,PPJ1GAHfhu8,0,0
377,oElrbuToLoM,0,0
383,aCa_kDxRCMo,0,0
384,jeMYs1da2Aw,0,0
387,2J9LUYS-McU,0,0
388,m3AHR9Xca0k,0,0
395,s_slQm79_uA,0,0
397,nK_-jo2AEEw,0,0
401,miK2j-aUDLM,0,0
405,SY_j-TKDHKQ,0,0
408,Q8sJs_CvSGI,0,0
409,nNk9iyRK3n0,0,0
411,U9d8LCD9U2Q,0,0
417,vhXnj6DnXH4,0,0
429,I8w2EU4rdI0,0,0
430,xkYnum5MRi8,0,0
432,qWsirVvp3tU,0,0
433,dvAg5mIu7R4,0,0
436,ZB2B_XidWtQ,0,0
437,LH2mcUI2Sgs,0,0
439,IM7Ke9ng0RM,0,0
440,HNJylANFTXY,0,0
443,dmGM8ZucgUI,0,0
450,NYzRC6tf170,0,0
454,bM2qpvDkH1A,0,0
464,TL7b9PV1gHg,0,0
466,T4A2bH5UNcs,0,0
467,J81Yj2zB23o,0,0
468,DV1Zf8BTQD8,0,0
470,GoFtweG6qKY,0,0
471,r6hB4aEzUbY,0,0
473,XPR2ZqdfF-A,0,0
478,vU35w6xrTS8,0,0
479,ZPMApkXM0Ro,0,0
489,xygpOypJdDQ,0,0
490,MIaVR9Q-Qyk,0,0
491,TAsA8tG05uM,0,0
499,dzzG0NSP4Yk,0,0
500,jvSL_uQQkdU,0,0
505,FjDXUBqD71g,0,0
512,vlZu7AvnC48,0,0
517,wxJsJ7zbeCo,0,0
520,BTHw3v_dztM,0,0
524,b5GtEMafvaQ,0,0
