video_id,job,id
55sDG9QgEFU,0,0
mDPYHOvcqXI,0,0
XtTs6VnQ6O8,0,0
uoWlXN0F74A,0,0
HmSDpcWYaDA,0,0
f_5Yvvcb0TM,0,0
mwH9AlPAafo,0,0
G3iKJ4IMick,0,0
f3gC1rey-2w,0,0
ahIUgXtl768,0,0
O9UgFPNdCTU,0,0
2bhJzICT9_w,0,0
WSWBj-QxnnQ,0,0
aZd21q63i7Q,0,0
-9BZjdy311I,0,0
G8qp_IDjzZ4,0,0
5e_p5ILzQLI,0,0
cqcBlXJHaYY,0,0
_eVfpTIeaHU,0,0
nxMIQWBCqxA,0,0
zD0kmu4krqQ,0,0
8quwsT4JyJM,0,0
X-NkCa4njYc,0,0
4iM3ABFXIhE,0,0
YK3Wao4OckI,0,0
kk-54c6oroo,0,0
60yIApkR78o,0,0
k1Wa9d9hDC4,0,0
UeqZy96SURg,0,0
9Jd6_e1aTe4,0,0
Y6mDE73iCi8,0,0
a3g40jyjxXU,0,0
S8Sc-gjE7P8,0,0
7xV8GVHgiKQ,0,0
w7UYVMF9QgA,0,0
oou8FkifVqE,0,0
cY63RxogFyA,0,0
JgMX-0syn0E,0,0
n5smaMqMqWM,0,0
chzsqUwXRL4,0,0
oCVzP8_6vZc,0,0
AHWbdkcxwDM,0,0
B3zRI8s_GOY,0,0
SQ44GGoqbso,0,0
mCtFTT1ocsk,0,0
FQg-lepOEaY,0,0
KtYz_mgPw1w,0,0
gcnTrrCYKoE,0,0
yysWedWV724,0,0
A-pw6oP4fU0,0,0
J044Exor5VY,0,0
eeBqMUz7b0U,0,0
NCTt8cpREiQ,0,0
Vm3I3ioXwK4,0,0
s3UyP4T9wmk,0,0
8XXin_Y7N_s,0,0
Tr4yEhu1Kzs,0,0
CbEBUaK0f5U,0,0
0KHN_Z7z1kc,0,0
8Sz5XhFVpZM,0,0
307ni9LaCy4,0,0
Pkh6MK3kit4,0,0
lql8p6zn_Lw,0,0
oiCQGM8Sq4I,0,0
DhkUyNvlJYw,0,0
c5SnXzTwXgE,0,0
CFOqgPb0QbE,0,0
PClclLl6uhE,0,0
95NWBgamXJo,0,0
RZj-V865Jag,0,0
LP_0nBbzhDE,0,0
wqDwC42o3SI,0,0
gl2h64EJBMM,0,0
mM2uTlUMCn4,0,0
uVZqxEqUwq4,0,0
5nBWLkf49EM,0,0
6JlL2F8JqjY,0,0
2ODAySb1Hjs,0,0
tNmYCUWDiy8,0,0
FEozsjkB9tM,0,0
S6tYRMtNocg,0,0
IshPMULlZOk,0,0
fSpgx9fbyP4,0,0
kQO-0bVhWwQ,0,0
G1jRIjXsm_o,0,0
6rqvMPEsrJM,0,0
-CiVg3WHNDM,0,0
gk-4swXoOjo,0,0
SE-852_5hjM,0,0
Tf85s5GvV0s,0,0
6qBbXFwGT5g,0,0
_zoXof64J1M,0,0
KA48kL-4k_Y,0,0
DNIV0MWOyoQ,0,0
nJrEoIsufY4,0,0
WhqC1TifUh0,0,0
7Z2o3C1dQ5U,0,0
MaiTmqSjh3U,0,0
Hi5WCL4g0gE,0,0
wYPVICqDU7s,0,0
oXgtszSMeAI,0,0
v1dWguSLhUk,0,0
eUV8jlJ63D4,0,0
PI6oV41Kv6A,0,0
l_MJNtOuW3s,0,0
Rgu0CEOujVw,0,0
gb2GO94z-xw,0,0
Yos7430ybLg,0,0
RkJWs99feuU,0,0
dYfJQGBqFsU,0,0
EnPjPIvxNZI,0,0
LMEWJUPOsZc,0,0
YLV24DiiKjU,0,0
cImqb_4AgCA,0,0
NfthnV4U2Fw,0,0
xevgxK1UyIw,0,0
eJ-SpbxY5Ts,0,0
PbmQjXLzLjc,0,0
JnZtFqBn6PE,0,0
DMeRnUVE2QI,0,0
STuXJiXA0AU,0,0
kbaapiWNGTk,0,0
S2Yq1qo4ViI,0,0
-Bge03RVLsw,0,0
uqMn_x1C7Kg,0,0
jGb7eNhm7aM,0,0
xqRDhz8Ag40,0,0
hteKqYopMJk,0,0
CGLHFnobbbw,0,0
OC4Ipp9-SWw,0,0
lM6QtjkcTFc,0,0
R7twDWR7HTA,0,0
-KN6veadDUU,0,0
i3CEfnuOdJQ,0,0
KX_nGd894vU,0,0
25VJAQWKvoY,0,0
rjXXJhMIpso,0,0
l-QrzPowe-4,0,0
M32PjLAlB40,0,0
VkjK_j2689A,0,0
Kkt5JMS6MDg,0,0
GFN7-Xzbhmk,0,0
HsWvIbAR_34,0,0
SXD6y1CNCQw,0,0
KUvL4AuvZPk,0,0
TITTo7sYpRY,0,0
zmG8U62SptA,0,0
CqdVCkJLejo,0,0
beTklhQhLFA,0,0
zX7hj2xcIlU,0,0
EuNcILNFa8I,0,0
izRpVcch9Mg,0,0
_MMplzb7B6o,0,0
MbYJX0goIjs,0,0
Hivu4yDjmls,0,0
SFY8cH9IrwM,0,0
u9a88zY04b8,0,0
ahkAXU_DiAc,0,0
WZApD9omdWg,0,0
ZT-jnh4M6Ns,0,0
zeNG1WDAkq4,0,0
-HPyUtkdua0,0,0
us9Jv2jKq7g,0,0
IaqNPJxtmi4,0,0
N-qaOSue3_w,0,0
tfCXkSPJV04,0,0
NpemmTx7wo0,0,0
fwtsadZ6QOw,0,0
YJSpb2YeK90,0,0
z5gmdiKiB5k,0,0
SqGOGFR7R1g,0,0
nrSiCAOCdvM,0,0
y1CL37Kh30g,0,0
AfRZkoIJF-w,0,0
8sHl1c-Nyp8,0,0
WM4fja169I4,0,0
YvcxEsGcxng,0,0
NB0uCPmsv1E,0,0
cTM-Co7_1CE,0,0
M3IuvrvNz_k,0,0
U-aONIW1-Ps,0,0
g16nV4Y-pjo,0,0
D4Gc7yceZQw,0,0
yAGDTSKT80I,0,0
l3CSmMhrlGE,0,0
4dNu24KlM0k,0,0
mZFjeCr3d68,0,0
-2fEDwYlQJc,0,0
nzdgUYF7__g,0,0
CqxP6RUPWu0,0,0
L5g0NUVAtVY,0,0
GuY5STRr830,0,0
ifhqJG93Ahc,0,0
MRSYklaSA38,0,0
pSmF1AZZ1e0,0,0
