,video_id,job,id
0,vIBc5yVUOqI,0,0
1,WywQeRmFGTY,0,0
8,37cp7mVLnL4,0,0
9,1QnGBxcL1Vw,0,0
13,KrKpTcU9mVg,0,0
16,ZIrrCZ0T__o,0,0
20,1IfWDpBrMRk,0,0
23,-WmOvthtPRM,0,0
24,DYvQqLM7suQ,0,0
25,PLS9zRylNvg,0,0
28,kk0rQXg4w7Y,0,0
31,rl_xoozttzs,0,0
33,ipFMRABaz6o,0,0
35,MUfYsaPFu8E,0,0
41,ZPd0p5OERAM,0,0
42,_qYKr7bpGH8,0,0
48,HFFm4G0i-9s,0,0
49,Ax8NZU6XgLM,0,0
50,i3b09xL7KLw,0,0
52,CRQLtxpSR7g,0,0
54,T3WUfSBW-kE,0,0
55,IY6aarC3Cd8,0,0
64,ijOuBrLEsQk,0,0
65,STFvkYV3wSU,0,0
77,DDCGXPYTwKg,0,0
83,eKmOj8yFSzo,0,0
84,F23EkWtbpIM,0,0
89,4CIdtuuUAfU,0,0
90,7BoVRkgp1aY,0,0
91,J1fy1lI25rk,0,0
92,juudklkvMUk,0,0
93,SR1zXyKgLvI,0,0
94,wdDXcCuJIYo,0,0
95,SVqXedtw2oE,0,0
98,o4xUF9R9WCo,0,0
99,kH2_nJ_16Hw,0,0
101,4oYWU10emcE,0,0
102,zx8u7FJFppU,0,0
107,MbmTIU6nO9A,0,0
109,Z4UlmhCqlK4,0,0
111,sOESZIQz-lA,0,0
112,dkr-Opit7I0,0,0
114,iMmWm4nB99c,0,0
115,Ylp0iqgVfUc,0,0
116,IdlLDUrsawc,0,0
117,fmcmNySu3JM,0,0
119,15j9jExnFsM,0,0
121,W21Nk1hWt8A,0,0
125,Za_E9Gz8tfk,0,0
126,Z6n0ZPgpSdQ,0,0
128,ABrvm7b4y7s,0,0
129,hMZangUnFCM,0,0
136,jsZEqNIuY6w,0,0
137,rBQmasqZkds,0,0
138,MI1U9XKd1gE,0,0
140,K8rUTeGGWvk,0,0
142,do6gozCb7nY,0,0
143,ukBZs4MYARk,0,0
144,iWa5GfOaJkA,0,0
146,UZwWpdXUJzM,0,0
148,31wKuQg9tUo,0,0
149,c4XW77JiU-8,0,0
160,QpqOikc-_pI,0,0
164,JwtJZLS-fhc,0,0
165,KcWzJdAodD0,0,0
167,PYUHhdL00iU,0,0
175,MEgGaH255i8,0,0
176,9dKbxM1T3MQ,0,0
181,PACwMaLim2M,0,0
184,p3rIqP-Hlmo,0,0
185,VuxPSJ7Qwo8,0,0
186,9vro2_kYXEQ,0,0
187,H8xJO-XKlV4,0,0
188,ghgtOzAy6vU,0,0
200,XYLj-hkO9XE,0,0
201,OFytykZBp80,0,0
208,UQZ16SeYc_k,0,0
209,8GfY3byv3U4,0,0
210,mVoRRc3Yw4Q,0,0
215,XI9GqUwp6Rs,0,0
217,GRpr6AeucHs,0,0
218,IIa6E8uVmgE,0,0
219,5MNm9LmbcQk,0,0
227,gzxKM4QtmQk,0,0
228,xPHCmqO6GTc,0,0
232,8k7nkDG8raI,0,0
233,4EZPGnRZaKk,0,0
234,vm_1CGc6acs,0,0
243,GZkE_1Zc9hk,0,0
246,kv3XXlq3LZk,0,0
251,kssuyruFndA,0,0
257,DWzmsazvIDY,0,0
261,TJ5BiqP24HY,0,0
262,qKCoDdi-_ec,0,0
266,M5YDkSeVylU,0,0
270,NVUTY_5D3DQ,0,0
271,NbGMwrEmw40,0,0
272,Y3aG3DVDAtE,0,0
273,ymWUIuBM0B4,0,0
274,_LHLvxROq3Q,0,0
277,7Vo_Z9PfjK0,0,0
278,yrt5yZror00,0,0
280,rmtCrAb9fGY,0,0
283,SC6Mza_UPsc,0,0
284,0iU6Qn7NvSA,0,0
285,nRhVjbdv3t8,0,0
286,K__5F_f65OU,0,0
287,4OV2y4ltYo0,0,0
288,Ho0tkZLdozc,0,0
292,Uqj1tbvfA8E,0,0
294,jBjkIVt-IBQ,0,0
299,Pe0FSt4CjQ4,0,0
300,7m0TUMYUzPc,0,0
301,w6T8zYgFWcY,0,0
302,NPl2qbM6wG4,0,0
304,NrEn-lPzSdg,0,0
305,YYGIPlq1sy8,0,0
309,u-LGxVPdy6E,0,0
315,unTT_2qOvU8,0,0
316,Z7S7vvJXSmk,0,0
317,YyIZo79N9XM,0,0
318,7m5-2LGFLkU,0,0
319,GkQWQf5KtrM,0,0
321,uAsf4yIyCag,0,0
322,kVlvYF32tNo,0,0
328,oRCC10qWQ5w,0,0
329,fv9Qfl-GdZE,0,0
330,vHIOLxdcP1A,0,0
331,XD3o1XFR2g4,0,0
336,3-ebECl476Y,0,0
337,kNiXKV1dkoI,0,0
338,nQ22tWUpTVA,0,0
339,fN0D7gLpzDk,0,0
347,uhgW0qS7Q7Q,0,0
348,3-pWp-1BWBM,0,0
351,m-0Da7pGPfg,0,0
354,T9WN0KBQ49c,0,0
355,LqsEuR8Rbzw,0,0
356,Fe1KuNzQmcA,0,0
357,ivbEVXiBXj8,0,0
364,rkEVHpBf0ZA,0,0
366,ceuNvJjhJTw,0,0
373,MTw0WdY2f9w,0,0
374,tmE-qgNP4mk,0,0
375,oKDrVfZxyss,0,0
379,UIPXn9zsGrY,0,0
381,qjFY6R7xM9U,0,0
385,gERMGA2q24Y,0,0
391,Ei5nal-m7wo,0,0
393,8JF8syJ05A4,0,0
395,4L91RQS6vJc,0,0
405,esZFq7RmVY0,0,0
407,icqmrOgDXhQ,0,0
411,8ziA8UqinS0,0,0
414,Wf5w5h0_M8o,0,0
415,3IjRPHyHZQA,0,0
420,6Vqv3FLQVYA,0,0
424,W-5oL_0tvHY,0,0
425,D5FIpPtOCNQ,0,0
427,4wwXrbag8K8,0,0
432,O-aN1aFVOkY,0,0
434,EdA_YAV24HI,0,0
449,EogN8izYg0g,0,0
453,8eG-ICU0PYg,0,0
458,Lb5-YO15jvQ,0,0
461,_MUWtE7pD9s,0,0
466,VGAJ6OOAtQE,0,0
467,G-QME0k8gs0,0,0
470,edLomfSa_YI,0,0
472,dNpMDeMe0pE,0,0
476,m4xmUamdNRM,0,0
479,FtNK2QIA8p0,0,0
484,D2MctFutTH0,0,0
485,_8ranEuDjNc,0,0
487,D2q9QtNGV1U,0,0
515,qZhBgppDqHQ,0,0
