,video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id,valid
0,HvGvrEUrRzQ,"VW ID1 und ID2, Tesla Model2 und ein neuer Morris Tagesthema Elektromobilität Nr.215",2020-12-01T16:00:10Z,UCHuXYLIv70fPKK9c60TwLQw,1690,39.0,8,0,0,comment threshold
1,Gw63pSaupwo,Formel E: Audi schickt Elektromobilität in die Wüste,2020-12-01T13:52:18Z,UC6hv0QC9E5-bcUxc3rBGOOQ,1187,83.0,21,0,0,comment threshold
2,bFxVyMlyPe0,Peugeot e-2008 | Elektromobilität auch als SUV | Autohaus Weiland,2020-12-01T08:10:07Z,UCOiNxHALgjOvrBSlnrB4FdQ,224,5.0,1,0,0,comment threshold
3,omB8WdaZ9t0,"1 Jahr Tesla Model 3,  Probleme mit den Ladesäulen und viele Erfahrungen",2020-12-01T22:10:14Z,UCqtBzOjVW0aLVZHaRYu7dpQ,6969,409.0,42,0,0,comment threshold
4,Y4gRg8G27MQ,CLIMATE:Lab #1: Der Klimaschutz und unsere Freiheit(en),2020-12-01T16:33:43Z,UCeH4whDP6cyiWjDPCpMVjuw,1702,44.0,3,0,0,comment threshold
5,OnsYPhV-3dE,2020 Tesla Model 3 Standard Range Plus Fahrbericht | Test,2020-12-01T14:43:35Z,UCdZ9F6bap1b7JQZ1pZiFJ_w,17395,352.0,59,0,0,valid
6,A3pitAeBFfs,GEBRAUCHTE E Autos: 5 STARKE Fakten von Willhaben 💪,2020-12-01T16:30:10Z,UC96MGGyxaZZQ6aFKSVMHIew,2391,132.0,22,0,0,comment threshold
7,WOxYuzOJV58,Umweltsünder E-Auto | Detaillierte Betrachtung der ARTE Doku - Reaktion,2020-12-02T18:30:02Z,UCaCaZ-vKtnMG2_FKmEePChQ,39248,1000.0,264,0,0,valid
8,w29CSnaxpxs,"Die Zukunft der Elektromobilität - Tesla, BYD, Nio & Co. - TrendInvest Branchenanalyse",2020-12-02T17:30:05Z,UCqs_d7U3QdfOv2vRBR0p8qw,832,38.0,12,0,0,comment threshold
9,VEdZ5XfMtMs,Kymco F9 E Bike Motorroller aus Taiwan Tagesthema Elektromobilität Nr.216,2020-12-02T16:05:22Z,UCHuXYLIv70fPKK9c60TwLQw,856,20.0,8,0,0,comment threshold
10,Y9EhB2laECc,Frostige Ladeinfrastruktur in Deutschland - Geht da noch was?,2020-12-02T08:14:45Z,UCaCaZ-vKtnMG2_FKmEePChQ,5038,522.0,182,0,0,valid
11,xx4-4PH1aXg,Der E-Wolf #756 - Renault beendet Batteriemiete in Deutschland,2020-12-02T05:30:02Z,UCUh8zvuZWNoIur4Cv-3fUzw,1282,70.0,26,0,0,comment threshold
12,AaYwFhDusPE,"BYD, NIO & Co. vor dem Absturz!",2020-12-02T17:00:04Z,UCF80pvG-mE_hoW0EI8lr38w,69122,4049.0,469,0,0,Topic
13,_HLJMk8jbWM,2021 Nissan ARIYA Vorstellung | Electric Drive News | Fakten - technische Daten,2020-12-02T20:18:50Z,UCxmohYAjhc2qD5pYIOwQ3bA,12584,241.0,57,0,0,valid
14,oakI1SuwS0o,Die Zukunft der (Elektro) Mobilität | Zukunftsforscher Lars Thomsen | The smarter E Podcast #10,2020-12-03T14:38:11Z,UCXvmG4CnAJLKMv9VTXnePHg,2200,52.0,6,0,0,comment threshold
15,AnYXq1iOpnA,"Synergieeffekte durch Solar und E-Mobilität | Thomic Ruschmeyer, BSM | The smarter E Podcast #29",2020-12-03T14:29:26Z,UCXvmG4CnAJLKMv9VTXnePHg,156,7.0,1,0,0,comment threshold
16,snNvDU5Dg_8,Breaking Elektro-News: Elektro-Start-Up vor der Pleite? Hyundai stellt E-GMP vor! Tesla sägt wieder😁,2020-12-03T06:00:18Z,UCsNdsFTTBj5jcRJSWeJ8-Xg,9321,681.0,77,0,0,valid
