,video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id,valid
0,yxB_qFPdKeo,Prof. Maximilian Fichtner - Neue Batteriekonzepte für die Elektromobilität (Mai 2021),2021-12-01T12:20:32Z,UCjlQUYxw7yjLuq5wTcJE-yA,26844,808.0,109,0,0,valid
1,75T7BKlPJHA,Pininfarina Battista: Mit 1900 PS noch fahrbar? | Fahrbericht | auto motor sport,2021-12-01T08:00:04Z,UCLINPbYQ9sy6qc-TqtBeVnw,166638,2032.0,345,0,0,Topic
2,K2-mDTj0kYY,"eMobility update: BMW Performance-Plug-In, mehr Reichweite für Opel, 1500 E-Trucks für DB Schenker.",2021-12-01T11:11:58Z,UC_vO01sSD25a73DhoaxtZTw,5735,428.0,29,0,0,comment threshold
3,XEdnMdfEJN8,TESLA Giga Berlin: Keine Produktion in Dezember 21?,2021-12-01T16:00:21Z,UCpPbcfwq0wOpWrC0gBs73tQ,15171,882.0,46,0,0,comment threshold
4,WEDAVwIi_48,275 Euro geschenkt durch THG-Quote mit dem Elektroauto,2021-12-02T16:00:25Z,UCBc0Mghy-6jhMXs3T7DluMg,16387,662.0,156,0,0,valid
5,ukvaF5DnAqE,"Akkus für Elektroautos - wo stehen wir in der Forschung? Materialien, Trends, Perspektiven",2021-12-02T15:00:36Z,UCd5Jpd5473VPhNjdWMUP6tw,31922,2220.0,190,0,0,valid
6,KqTT6SdqB-0,"eMobility update: E-Cabrio von VW, Opel Astra Kombi als PHEV, Mercedes steigt bei Factorial ein.",2021-12-02T11:00:09Z,UC_vO01sSD25a73DhoaxtZTw,8862,507.0,26,0,0,comment threshold
7,V3vU5vSbGYw,MENNEKES Ladelösungen für Unternehmen und Gewerbetreibende,2021-12-02T12:22:33Z,UCquudVXUPxDHL-8ZqKVsGXQ,551,10.0,1,0,0,comment threshold
8,fhd4pBQ7VBA,VW T7 Multivan (2021) Hybrid: Der neue Bulli mit Plug In. Ausführliche Vorstellung und Review.,2021-12-02T15:00:20Z,UCGoI004ZXiUb1NmY3zXBWTw,14562,195.0,48,0,0,comment threshold
9,ZsYrw6HYRjA,"Breaking Elektro-News: BMW i4 Auslieferungsbeginn, Verkaufsschlager Q4 e-tron, Corsa-e Reichweiten +",2021-12-02T06:00:10Z,UCsNdsFTTBj5jcRJSWeJ8-Xg,6240,436.0,66,0,0,valid
10,tHTdi0BCtdw,"KIA EV6 Ladesystem Vehicle Two loud System V2L, Elektroauto als Ladestation nutzen, Energiespender💥👍",2021-12-02T19:39:02Z,UCInXlbYmCkRVGbaDkW7bVGg,490,17.0,4,0,0,comment threshold
11,Fx-X2Up2GHg,2022 Lexus RZ | Lexus RZ450e | Der erste Teaser - die ersten Informationen? | Electric Drive News,2021-12-02T20:13:02Z,UCxmohYAjhc2qD5pYIOwQ3bA,862,55.0,9,0,0,comment threshold
12,CCHp2JV6bqM,"TESLA: Neues Spielzeug, AMD-Chip ++ möglicher Porsche-Skandal!",2021-12-02T15:59:15Z,UCpPbcfwq0wOpWrC0gBs73tQ,13410,789.0,62,0,0,valid
13,92CVc0fCixQ,Was kostet ein E-Auto? Ladekosten unterwegs VS zu Hause,2021-12-03T16:00:04Z,UCaTyFx9Llt5nQRAFjZyowow,8638,370.0,74,0,0,valid
14,KL4xFEuZoyg,Projektmanager*in für Elektromobilität - lohnt sich die Fortbildung?,2021-12-03T17:00:15Z,UCh_Xg4Ff_mWHKqLHCHwFsNQ,370,46.0,5,0,0,comment threshold
15,UrIVEEWJyA4,Das TESLA Erfolgsrezept - Das macht Tesla und ELON MUSK anders | STAT E-STICS #47,2021-12-03T17:45:06Z,UCDDj2GWklzZ09X7R9OtsX3Q,8311,495.0,86,0,0,valid
16,OvEcEtfaGos,2021 Star-Biker SB8 - DIE ELEKTRO HARLEY - 3000 Watt - STAR-BIKER | EFIEBER,2021-12-03T17:00:17Z,UC7yTmxTaRki-3qVGF14Tchw,1624,62.0,11,0,0,comment threshold
17,k5OsvxwpH1I,"Plug&Charge vs. AutoCharge, Tesla Model 2, Navi mit Zwischenzielen (NEWS KW48/2021)",2021-12-03T19:57:20Z,UCHeWtVw_wNCUZkzc5wif2FQ,4243,234.0,29,0,0,comment threshold
18,gsJcbjNxaVc,"KIA EV6 2021 Relax System Innenraum, Wohlfühl Oase KIA, Kamin Entspannung, Abschalten Chillen",2021-12-03T22:15:46Z,UCInXlbYmCkRVGbaDkW7bVGg,825,12.0,1,0,0,comment threshold
19,xcjntxYwYxE,TESLA: VW kauft Tesla-Produkte +++ Model 3 Preiserhöhung,2021-12-03T16:00:39Z,UCpPbcfwq0wOpWrC0gBs73tQ,26253,1073.0,63,0,0,valid
