,video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id,valid
0,ZE3d3mckVGI,⚡ 36 Tage elektrisch unterwegs. Ich mag Schnellladeparks und so finde ich die am einfachsten.,2021-02-01T15:00:10Z,UCMZbix9CwEuL6l9SJIb2Zxw,1123,69,20,0,0,comment threshold
1,3caC2JwQ9JM,Frank Thelen: Diese Trends sind eine Revolution für die Menschheit! // Mission Money,2021-02-01T15:24:05Z,UCpvNsu17XsZFH3a_6tl_YyQ,174553,5300,1261,0,0,Topic
2,yXW1l7aFiuk,"Elektroauto - alles zum Thema laden - frei nach der Devise ""steht er dann lädt er""",2021-02-01T08:30:03Z,UCuPH6ouleIo8IhmZy65m4pA,2513,180,20,0,0,comment threshold
3,pA51MCMbKzs,Alltag mit 8 JAHRE altem E-AUTO | EVlog 2.1 | Bestandsaufnahme & Grundreinigung,2021-02-01T15:46:50Z,UCaCaZ-vKtnMG2_FKmEePChQ,5149,357,74,0,0,valid
4,ecAvHlpX2A4,Volkswagen e-Up: Reicht der VW als Einsteiger-E-Auto? - Test/Review | auto motor und sport,2021-02-01T15:00:15Z,UCLINPbYQ9sy6qc-TqtBeVnw,109350,1925,871,0,0,valid
5,rcUklcTrQDY,"Unser Youtube Projekt, Ziele und Ausblick - #endlichmontag [Deutsch 4K] | Vision E Drive #66",2021-02-01T17:00:17Z,UCDMd4FzBxxKD5yAeeLStU6A,546,66,18,0,0,comment threshold
6,0QySOunWK2I,Cem Özdemir fordert Fokus auf Batterie-elektrische Autos – „electrive.net LIVE“,2021-02-01T11:04:07Z,UC_vO01sSD25a73DhoaxtZTw,2182,194,78,0,0,valid
7,DWp20lgJl7s,Trading lernen: wenn die Big Player ihr Geld ins Spiel bringen,2021-02-01T10:00:11Z,UC6GwhErh5weuZt-E6_uQnJA,324,18,1,0,0,comment threshold
8,NYDcFa8I65M,Batterietechnik CATL nur noch 300KG für 100KWh Tagesthema Elektromobilität Nr.274,2021-02-02T16:00:06Z,UCHuXYLIv70fPKK9c60TwLQw,1488,48,11,0,0,comment threshold
9,NuQVPxCGy1M,Gelebte Elektromobilität bei ROMA - Firmenwagen mit eigener Ladestation,2021-02-02T10:27:29Z,UCpCZOMdOt3AfhdKi6vjVqaA,1303,29,4,0,0,comment threshold
