,video_id,job,id
0,MQg_hvhiPj4,0,0
1,hEk8NEbAoh0,0,0
2,zaTtjQlLr_U,0,0
3,95nfxpk5QJU,0,0
4,rtdphs8P2U8,0,0
6,J9SDmcLaWjc,0,0
7,hFV8KFNW4XQ,0,0
8,VMx6r6dZisc,0,0
9,1IXFaGK-kt0,0,0
10,LQyQnjFMe1A,0,0
11,RilcPNPLT7w,0,0
12,bcTk83OstsE,0,0
13,Ay3Yt59h3Go,0,0
14,EZ8Q3XbK1a8,0,0
16,nH9mX7g5apU,0,0
17,K519z6Y04UA,0,0
18,V3MNFkMF83w,0,0
19,c3xDV1SAdnE,0,0
20,L_i68RXOEDM,0,0
21,kJtc5v-LhOM,0,0
22,rdZ12NZotmY,0,0
23,lG0O5plY0Do,0,0
24,Bv8w47tval0,0,0
25,hZvwVS7Wxdw,0,0
27,xDNygthdFvM,0,0
28,NnKo37WiC6U,0,0
29,HwwiHMH2uig,0,0
30,xcxwYJ3o3To,0,0
31,ecZJrBszUBI,0,0
32,ebRBoZ6RBv0,0,0
33,OQxNVVRWE_E,0,0
34,tiVZWjEK-GY,0,0
35,RY0rrdCXdfQ,0,0
36,Ae7_Fl3Z_L8,0,0
37,6ari1ypQ46s,0,0
39,sjvJ13totzY,0,0
41,xOgdPMs2xyk,0,0
42,EOlwNFK5KSs,0,0
43,bROWdcMb4Vo,0,0
44,ThbRp7OhL2o,0,0
45,gTLp9cUy4mU,0,0
46,JzAGFqLabuc,0,0
48,DaJHdbs8GuY,0,0
49,WnJvAl7mtcU,0,0
50,C9x7d84WmKY,0,0
51,EoojAicrQMc,0,0
52,KRbKv4s2a6E,0,0
53,0iA1t__uRpQ,0,0
55,-76wzwbOcOY,0,0
56,MLY2pihFM_U,0,0
57,HyIl1vYwD3g,0,0
58,pyd-ORQHo1w,0,0
59,1By04lQITsE,0,0
60,JLY_yaxFjyk,0,0
61,OZSS0eVhImk,0,0
62,ss9O-L8CbtI,0,0
63,hqDtO92_gJI,0,0
64,8sUkavjC66A,0,0
65,l9Ilh2cokKo,0,0
66,sxNazG-HqJo,0,0
67,SOibMtEKKj8,0,0
68,OrrD6tiY1Bg,0,0
69,FVIxSAAZ9io,0,0
70,gwPaeN5Qqg8,0,0
71,MMGCYqCBlk0,0,0
72,MDeXQ1y43rg,0,0
73,Hwhwb3sMa0s,0,0
74,5YduN55uy9U,0,0
75,zgCfFa9ln24,0,0
76,BcecpEW_wYw,0,0
77,95-r8HgHmcs,0,0
78,iI1ovsDMIrE,0,0
79,F1OIod3Frxc,0,0
81,CpljjhCq3cI,0,0
82,-vQr7sE-Qf0,0,0
83,j-rTeGo2IyY,0,0
84,oEMa2GJvsD0,0,0
85,sVLnCbK27Mo,0,0
86,SHyD1INd1Ug,0,0
87,Ac-zs0OmF1Y,0,0
