,video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id,valid
1358,qowsHwEBjoA,NATO vs. Russland: So wäre ein Krieg,2022-02-05T10:00:32Z,UCZHpIFMfoJJ_1QxNGLJTzyA,3986871,92547,17911,0,0,Topic
1429,W9cLFCzu15Q,I BUILT CAR WASHER ON MY GAS STATION,2022-02-13T03:30:11Z,UCX8pnu3DYUnx8qy8V_c6oHg,6829403,463558,16059,0,0,Topic
1671,Xi-nRpfFgDQ,Budi Doremi - TAK KAN HILANG (Ost. Vidio Originals DJS The Movie: Biarkan Aku Menari),2022-02-25T09:00:12Z,UCyDGS0Us_SgWzR2kzGc7RpA,1604589,181269,12264,0,0,Language
1454,iXOP_81L14s,BELLA AKHIRNYA MENG4NDUNG !!! SUPRISE ALIEFF MENANGIS DAPAT TAHU BERITA INI...,2022-02-13T12:30:19Z,UCKCK2lumiYpKfD1aEj4W5vg,2191603,157169,9898,0,0,Language
1636,m50hvh4yHkk,ÖRÜMCEK ARDA VE RÜZGAR GÜÇLERİNİ BİRLEŞTİRDİ! 😱 - Minecraft,2022-02-23T08:09:38Z,UC2XbMXD6jSrixkpgs7vHFUA,1378003,40692,9697,0,0,Language
1424,cUxfZtxcujk,Putin - Die Rückkehr des russischen Bären | Doku HD | ARTE,2022-02-12T17:00:21Z,UCLLibJTCy3sXjHLVaDimnpQ,3335946,31324,9619,0,0,Topic
1458,DTVMH_RUtnw,EL INFILTRADO #61  POR FIN ADIOS EMULADORES!!! SOLO VS SQUAD!!!  CLASIFICATORIA!!! NUNCA MAS!!!,2022-02-13T01:37:41Z,UC6Ij1c74Gm-TicYZsKL1FAw,2975644,323646,8873,0,0,Language
1400,SjISEmDQD7I,HARI PERTAMA SELEN MAEN KELUAR KANDANG ! SEMUA ORANG DIAJAK MAEN SAMA SELEN ! LARINYA KENCENG BANGET,2022-02-11T09:07:25Z,UC3vEIgE_o46HVa8QrPa8Svg,7072778,214117,6866,0,0,Language
1394,TmSmFDaahs0,MY SECRET HIDDEN BASE FOR WAR IN HEROBRINE SMP | RAWKNEE,2022-02-11T08:00:17Z,UCZaHw7tdjy3TNMH3ncsI4Bg,2109641,171300,6490,0,0,Topic
1729,TkfMYFPe98A,Ukraine: Anonymous erklärt Putin den Cyber-Krieg,2022-02-27T11:00:13Z,UC4zcMHyrT_xyWlgy5WGpFFQ,1037483,24749,6154,0,0,Topic
1640,ePgM4pRFeyU,TANGIS KANG DEDI SAAT ANTAR KEPERGIAN AYAHNYA | MENYESAL GAK BISA BELANJA BUAT BAPAK LAGI,2022-02-23T13:00:11Z,UCopjJE-RzBmv4MID-E1Oiyg,601742,31097,4509,0,0,Language
1233,kjwiFMxRotQ,Mein Elektro-Mercedes Werkstatt Termin: DESASTER. ABZOCKE. WUT.,2022-02-25T15:30:07Z,UCiZnK4X73okItJqaCs2YDOQ,214027,16048,4224,0,0,valid
1281,pIgLQJjNU_0,+++ STURM auf Kiew!+++ DER Ukrainekrieg - IHR Kampf gegen PUTIN!,2022-02-26T07:00:07Z,UCOQFfcGRc886dXP2Oyt5OEg,271244,27745,3909,0,0,Topic
1637,B8P2W0uExvQ,Winner Winner Mummy Dinner | Party | MCA | Middle Class Abbayi | Funmoji | Infinitum Media,2022-02-23T11:48:20Z,UCXp7t87iLdty_jKYZtLg_lA,1368773,100272,3688,0,0,Language
1464,zYqgGBlCy44,Ich hab Standart Skill MercedesBenz Geklaut !!! 😎,2022-02-14T19:36:37Z,UCk-ERvn9_tUjg7e8Bn921gA,359621,11376,3687,0,0,Topic
1461,yuKiBBhQ7Y0,CHI DISEGNA WILLY WUGGY FRATELLO CATTIVO DI HUGGY WUGGY PIÙ BELLO VINCE E SCAPPA DA POPPY PLAYTIME!,2022-02-14T13:29:53Z,UC0zUezMTgb3yqxwFz2djmYw,346746,11146,3583,0,0,Language
1513,WYueeB1XV9I,SIDEMEN BATTLESHIPS ON GTA 5,2022-02-17T19:00:08Z,UCh5mLn90vUaB1PbRRx_AiaA,2608390,137865,3192,0,0,Language
1402,NE4p_S9NeS0,"🚨José Eduardo Derbez, Vadhir Derbez y Chilz en Pinky Promise-T3. EP.19",2022-02-11T01:00:51Z,UC2nVOeuIeODyrZ2Mei_ocTQ,2121093,48187,2906,0,0,Language
1731,6IZ2yhUq6CY,CAUSAS DA MORTE DE PAULINHA ABELHA DA BANDA CALCINHA PRETA | Dr. Dayan Siebra,2022-02-27T15:01:57Z,UClN6OLbLp1YjTSwDOkEM2dA,468184,51675,2879,0,0,Language
1387,eG1eZ5IoxkQ,Rich Dad Vs Broke Dad,2022-02-10T20:33:15Z,UCvo9oZCTg_UaTQbhyXkXX3w,2926148,47144,2648,0,0,Topic
1598,yTFBCvAuk3Y,SIMULADOR de GASOLINERA?! 🔥🤣 | Plech,2022-02-22T21:20:38Z,UCKGLPbKJXJSlvGUtbU-1tpw,1102884,35619,2525,0,0,Language
1350,LwEHWsUp4qA,JOGAMOS MINECRAFT DENTRO DO CS GO!! QUEM GANHOU ? ROBIN HOOD VS HEYDAVI,2022-02-02T22:21:12Z,UCYtaoJSk9iIrFxx8eZB15ag,1967624,105174,2484,0,0,Topic
1388,MnJpG3kIEIU,Schule für immer! Das verdient ein verbeamteter Lehrer an der Realschule | Lohnt sich das | BR,2022-02-10T14:04:39Z,UCVF_W6X2BFOh6TPv1Efm9YQ,690571,11798,2295,0,0,Topic
1385,qW7P2BXv658,JURASSIC WORLD 3 Trailer German Deutsch (2022),2022-02-10T14:10:59Z,UCOL10n-as9dXO2qtjjFUQbQ,1213007,40392,2135,0,0,Topic
1606,xGnGfR0tD44,JP Performance - Das hat TÜV ? Porsche G-Model Safari,2022-02-22T10:30:11Z,UC1-VOKyTJrgLiBeiJqzeIUQ,417635,18229,2117,0,0,Topic
1446,BDmgrNU7yR8,EL ULTIMO EN SALIR DEL ATAUD GANA $1000 !!,2022-02-13T21:59:32Z,UCZs0WwC0Dn_noiQE2BHSTKg,3487410,75891,2091,0,0,Topic
1714,Oc_IwNtBOe0,Charkiw: Ukrainische Soldaten zerstören russische Konvois | Analyse,2022-02-27T10:00:10Z,UC4zcMHyrT_xyWlgy5WGpFFQ,377583,2916,2082,0,0,Topic
670,FCwxWOPNtrc,Wut-Brummi-Fahrer: Klima-Aktivisten die Meinung gegeigt | BILD Live,2022-02-11T13:30:04Z,UC4zcMHyrT_xyWlgy5WGpFFQ,506012,18056,2044,0,0,Topic
