,video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id,valid
0,55sDG9QgEFU,Wie ist die Qualität unseres Tesla Model 3? | Morsch,2021-05-01T15:00:27Z,UCZn89OCFw1OSFBdGcXEFdWw,7807,182.0,86,0,0,valid
1,G8OqzK3Afpo,Elektromobilität einfach erklärt - Sensoren: Kamera | Lidar | Radar - auf dem Weg zu Vollautonomie,2021-05-02T06:30:02Z,UCuPH6ouleIo8IhmZy65m4pA,1658,119.0,30,0,0,comment threshold
2,zISlafevh4I,Die Erfolgsgeschichte der Elektromobilität (Conference Days) | Webinar | RENAULT TRUCKS,2021-05-03T15:50:12Z,UCZgrDVOqqoIdu389X9J9RSg,836,6.0,2,0,0,comment threshold
3,Pqp6W_-3BfM,Elektroautos brennen 10 mal weniger als Verbrenner Tagesthema Elektromobilität Nr.357,2021-05-03T15:00:12Z,UCHuXYLIv70fPKK9c60TwLQw,146,12.0,1,0,0,comment threshold
4,mDPYHOvcqXI,"IONIQ 5 versorgt Haus mit Strom! (Bidirektionales Laden, Vehicle to Grid, Load, Home, V2L, V2G)",2021-05-03T16:00:19Z,UCgmB8S3f8-9dR8alVUZuZxQ,114058,5607.0,918,0,0,valid
5,XtTs6VnQ6O8,500.000 km Tesla Taxi - eAuto Experte bewertet Zustand,2021-05-03T14:13:39Z,UChjA0Vy8gClgOU9W1ttvt8w,150967,5702.0,515,0,0,valid
6,uoWlXN0F74A,Audi Q4 etron (2021): Elektro-SUV mit 500 Kilometer Reichweite | ADAC,2021-05-03T10:15:02Z,UCJTQxEGVqCFsBuHUyxgaVqQ,84115,396.0,95,0,0,valid
7,ZA1Hib1DyqE,"eMobility update: BMW Batteriemontage in Leipzig, E-Transporter, Orten Gazelle, Benteler, Porsche",2021-05-03T10:00:15Z,UC_vO01sSD25a73DhoaxtZTw,3661,338.0,7,0,0,comment threshold
8,EggGJP1KeLc,Markus Hackmann von P3 gibt Ausblick auf die Elektromobilität im Jahr 2030 – „electrive.net LIVE“,2021-05-04T07:25:18Z,UC_vO01sSD25a73DhoaxtZTw,1145,57.0,10,0,0,comment threshold
9,HmSDpcWYaDA,Tesla Repariert Mein Model 3 Nicht!,2021-05-04T16:26:58Z,UC3rz4cx41jWj7shRBTetzkw,147479,3980.0,731,0,0,valid
10,dPlU-abLhZc,Entwicklung im Bereich E Motorrad Tagesthema Elektromobilität Nr.358,2021-05-04T15:00:16Z,UCHuXYLIv70fPKK9c60TwLQw,242,12.0,2,0,0,comment threshold
11,YjEpyyUDa2s,"eMobility update: Tesla Grünheide viel später, Hyundai Ioniq 6 in 2022, Aiways U6, Audi e-tron GT",2021-05-04T10:00:16Z,UC_vO01sSD25a73DhoaxtZTw,6038,421.0,35,0,0,comment threshold
12,f_5Yvvcb0TM,"Besser als Tesla? NIO, der neue E-Auto-Anbieter aus China",2021-05-04T16:00:31Z,UCE2hJ9CYR57BYhk3TjGVG6w,199099,8336.0,1094,0,0,valid
13,dopLcmxpVk8,Was kann der SEAT MÓ125? Elf überraschende Antworten,2021-05-04T15:54:36Z,UC0z9lQdQgTUII4lfaIevdvA,7932,78.0,21,0,0,comment threshold
14,mwH9AlPAafo,Model 3 - Wird Tesla gejagt oder überrundet der Pioneer die Konkurrenz? Die Fakten sind eindeutig.,2021-05-04T05:48:54Z,UCasePAQ_q7tbUGybICCj4NQ,6880,409.0,90,0,0,valid
