,video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id,valid
0,MdH7h39Bx-Y,Überblick Elektromobilität 2021 | Was kommt Neues für das Elektroauto?,2020-11-01T14:22:20Z,UCBTJnSirNI8kwOn5ROB_BGA,11458.0,182,90,0,0,valid
1,2WnpyXI0mzU,E-Mobilität im TV: So VERARSCHEN sie UNS! Jetzt ist SCHLUSS!,2020-11-01T09:00:00Z,UCiZnK4X73okItJqaCs2YDOQ,207432.0,11781,1681,0,0,valid
2,XVjjIwAjeL4,LG Chem will nun auch die neuen 4680 produzieren Tagesthema Elektromobilität Nr.185,2020-11-01T16:00:04Z,UCHuXYLIv70fPKK9c60TwLQw,229.0,25,2,0,0,comment threshold
3,hIPZTEj6c2c,Wird das Fördergeld schon knapp? | BAFA unterschätzt Ansturm auf Elektroautos,2020-11-01T19:23:05Z,UCaCaZ-vKtnMG2_FKmEePChQ,11098.0,434,78,0,0,valid
4,-PSs20v5_Fo,Die Italiener Fahren Wie Die Verrückten - Tesla Sizilien Roadtrip,2020-11-01T16:30:01Z,UC3rz4cx41jWj7shRBTetzkw,71715.0,2876,309,0,0,valid
5,zARAgVZSQPE,Studienalltag im Elektrotechnik Studium,2020-11-01T18:45:02Z,UCKC9gZw2CxA8y9sgBA58Wnw,8118.0,193,52,0,0,Topic
6,SrCTCvZlPj8,"2020 MAZDA MX-30 | e-Skyactiv | Innenraum, Cockpit & Kofferraum | Elektro SUV 🔋| Dominik Fisch",2020-11-01T18:00:10Z,UCOlgITVVhJf_E8oMtMWW0Ow,3914.0,47,1,0,0,comment threshold
7,JWedieJbCQ0,"#ENF130 Fiat 500e, Tesla folgt VW und wird Stromanbieter, Fisker & Lordstown IPOs, uvm.",2020-11-01T10:53:18Z,UCAhqXf93x97k2VB1OH_8Spw,966.0,142,7,0,0,comment threshold
8,lItHb91hSnE,E Bikes von GASGAS im Enduro und Cross Format Tagesthema Elektromobilität Nr.186,2020-11-02T16:00:07Z,UCHuXYLIv70fPKK9c60TwLQw,3199.0,10,3,0,0,comment threshold
9,qLeiCfoR1LE,Wie man versucht die E-Mobilität schlecht zu machen - #endlichmontag [Deutsch] | Vision E Drive #37,2020-11-02T17:00:30Z,UCDMd4FzBxxKD5yAeeLStU6A,614.0,51,10,0,0,comment threshold
10,J8Cc6RczrBw,Der E-Wolf #746 - Streit um das PKW Label,2020-11-02T05:30:00Z,UCUh8zvuZWNoIur4Cv-3fUzw,219.0,29,6,0,0,comment threshold
11,XgzFMlWyaG4,e-tron Routenplanung mit der Audi App,2020-11-02T06:35:48Z,UCXzAdSkGFtjrbuucfC-t7gA,8517.0,419,137,0,0,valid
12,VjiTtqSxT50,Vielfahrer E-Tron #10: Effizienz bei Sommer- und Winterreifen,2020-11-02T16:00:12Z,UCddkvrnYqGRfODPMUQqisiw,1058.0,70,20,0,0,comment threshold
13,3v-po5Eueo4,"Umweltbonus, KFZ-Steuer und mehr - so viel sparst du mit einem Elektroauto | TeslaOwner",2020-11-02T18:48:00Z,UCHAt5RpacAtQbc2qi55FZXA,6683.0,188,34,0,0,comment threshold
14,BETQTZr27Bg,Mit dem Elektroauto nach Kroatien | Funktioniert Das?,2020-11-02T15:03:43Z,UCotgfqoF6YyD95ot56w8TGw,16939.0,324,77,0,0,valid
15,ehQkVS5knfM,"Tesla kaufen, prüfen oder verkaufen? Mein Serviceumfang. Willkommen bei T&T Emobility",2020-11-02T17:15:43Z,UCqtBzOjVW0aLVZHaRYu7dpQ,34808.0,1846,170,0,0,valid
16,idSrP-DMy1E,"Weiterer Abverkauf in ""Monster-Woche""? Videoausblick",2020-11-02T08:09:19Z,UCsekpwdMv9PBCOftuuKncfw,12517.0,719,152,0,0,Topic
17,TbLoHKVapBw,Hummer-Elektroauto: Teurer als Tesla Cybertruck Tagesthema Elektromobilität Nr.187,2020-11-03T16:00:06Z,UCHuXYLIv70fPKK9c60TwLQw,107.0,11,1,0,0,comment threshold
18,LObzg-78gt8,Erste Urlaubsfahrt mit dem E-Auto,2020-11-03T17:45:01Z,UCb0BvamKxxSvs1CtZThRuiA,12134.0,344,76,0,0,valid
19,4Bk_TmalB58,"VDI Studie stellt klar: E-Autos sind nicht besser fürs Klima als Verbrenner, wenn....",2020-11-03T19:21:51Z,UCaCaZ-vKtnMG2_FKmEePChQ,7663.0,534,150,0,0,valid
20,OXv6vgNvHSY,Der Renault ZOE - Das Elektroauto,2020-11-03T15:57:41Z,UCbDG914p1pzNHiXughxCZGg,13468.0,27,11,0,0,comment threshold
21,3wuPKwvrNtE,"Bernhard Kunz von Futuricum zeigte auf, wie man einen Lkw umrüstet – ""electrive.net LIVE""",2020-11-03T11:03:32Z,UC_vO01sSD25a73DhoaxtZTw,3540.0,52,3,0,0,comment threshold
22,IOGL4Pqsq5g,Wie entsteht die Ladeinfrastruktur für Elektromobilität in Baden-Württemberg?,2020-11-04T08:13:18Z,UCEHiTBtGu3IxAB8txgssT0Q,435.0,12,1,0,0,comment threshold
23,KjVDV6LAKEk,Kennt ihr Move Electric? Wie kam Jens zur Elektromobilität?,2020-11-04T18:41:00Z,UCqtBzOjVW0aLVZHaRYu7dpQ,10816.0,935,71,0,0,valid
24,Y9_FEtwKYPY,E Auto Entwicklung auf dem chinesischen Automarkt Tagesthema Elektromobilität Nr.188,2020-11-04T16:00:05Z,UCHuXYLIv70fPKK9c60TwLQw,426.0,27,4,0,0,comment threshold
25,RPKCuKi8t7A,Tesla Model3/Elektromobilität/Zweifel?,2020-11-04T15:41:59Z,UCf6kkAGiOV_azeGaZ_gKVLQ,329.0,17,7,0,0,comment threshold
26,gBeVwMgGkCw,VW ID.3 übers Limit! Was passiert in der Todeszone? Nicht nachmachen!,2020-11-04T17:00:32Z,UCgmB8S3f8-9dR8alVUZuZxQ,93989.0,3962,471,0,0,valid
27,oOp7ovsoPS4,Der E-Wolf Extra #106 - Ladeverbund+ fliegt bei Maingau raus - Utopische Preise für AC,2020-11-04T05:30:02Z,UCUh8zvuZWNoIur4Cv-3fUzw,536.0,58,15,0,0,comment threshold
28,SZX5Eo_6yHU,Wie werden Fahrzeuge in Baden-Württemberg in Zukunft angetrieben?,2020-11-04T08:12:04Z,UCEHiTBtGu3IxAB8txgssT0Q,272.0,7,4,0,0,comment threshold
29,yB4UonENVzk,Sushi Bike im Test mit @Felixba | E-Bike Test – präsentiert von Yello,2020-11-04T11:00:56Z,UCWDzQTt1RWZD1AtkV76CIBA,93871.0,902,158,0,0,Topic
30,varQkU6a5Q0,"Wieso, Weshalb, Warum - Elektromobilität (1/5)",2020-11-05T16:35:07Z,UCpzYCLfc77zLnek94eIj0ig,43.0,1,1,0,0,comment threshold
31,NWYhHAJQyxY,Startschuss für Elon Musks Satelliten-Internet Tagesthema Elektromobilität Nr.189,2020-11-05T16:00:04Z,UCHuXYLIv70fPKK9c60TwLQw,178.0,27,5,0,0,comment threshold
32,sb96rrSGNSk,"Breaking Elektro-News: Elektroauto-Boom ungebrochen, BMW iX3 Preissenkung, Seat Elektro-Roller 😮",2020-11-05T06:00:05Z,UCsNdsFTTBj5jcRJSWeJ8-Xg,6730.0,538,52,0,0,valid
33,aEqZ7bobLVk,"NISSAN NV300 Flexvan | Familienvan, Business Shuttle, Freizeitbus | Alternative zum Multivan",2020-11-05T15:52:46Z,UCBTJnSirNI8kwOn5ROB_BGA,18128.0,113,40,0,0,comment threshold
34,CbIkcLtmJYM,BMW TODAY – Folge 15. THE iX3. Der erste vollelektrische BMW iX3.,2020-11-05T13:47:30Z,UC2e5-MJewCK36FRpFF8Ke2A,6609.0,72,22,0,0,comment threshold
35,whJGliMzzUI,Die Emil Frey NRW Garage testet den neuen Ford Mach E,2020-11-05T10:55:11Z,UCqkGHP9geiYarDIYTjuTW3A,5066.0,52,4,0,0,comment threshold
36,Zc58yHfVUf4,Verschläft BWM die Elektromobilität?,2020-11-06T15:00:09Z,UCjI-AAeydw_6l2YWK_5hMPg,1847.0,254,77,0,0,valid
37,cApGKsdUAeU,Waymo und Daimler kooperieren beim autonomen Fahren bei LKW Tagesthema Elektromobilität Nr.190,2020-11-06T16:00:05Z,UCHuXYLIv70fPKK9c60TwLQw,81.0,7,1,0,0,comment threshold
38,OvFwka0K-lQ,"nextnews: 3.000€ BAFA Falle, ID3 Ausfall, Zoe Rekord, Hoffnung für BMW?, Musk in Berlin, CO2 Pooling",2020-11-06T17:00:06Z,UCgmB8S3f8-9dR8alVUZuZxQ,73236.0,4345,762,0,0,valid
39,MBB7yivwaic,Wie sieht die Dekarbonisierung von Verkehr und Logistik aus? | mit Mirko Drotschmann,2020-11-06T10:59:06Z,UCoowuatUQXSOb7OSfOglMOQ,281.0,10,2,0,0,comment threshold
40,zbqCFFQ9RVI,Vielfahrer E-Tron #11: An- und Abbau der Anhängerkupplung,2020-11-06T16:00:12Z,UCddkvrnYqGRfODPMUQqisiw,3764.0,140,39,0,0,comment threshold
41,A6NgwVi4rg0,Zum ersten Mal Elektroauto - Wie fährt es sich? Gibt's Ladeprobleme?  [Deutsch] | Vision E Drive #38,2020-11-06T17:00:05Z,UCDMd4FzBxxKD5yAeeLStU6A,636.0,34,16,0,0,comment threshold
42,5dFQ51QIIks,Kurze Gegendarstellung zum Beitrag des NDR zu Elektroautos bleiben immer auf Brücken liegen...,2020-11-06T21:32:29Z,UCoNqy3DAmGVvDtF8MbKVEWw,16655.0,493,132,0,0,valid
43,GiUZJmkOxqk,"Elektroauto im Urlaub/Ausland! Was ist anders, was muss man wissen? Köln-Toskana",2020-11-06T10:30:01Z,UCwQmqAG_8YlgakD8Dj0DZ4w,12301.0,302,125,0,0,valid
44,ap_lDo2EN64,"NEU Umweltbonus ab 16.11.20 I 41.198,90€ Zuschuss beim Mercedes EQV Das sind die Gewinner+Verlierer",2020-11-06T17:17:30Z,UCSwRhu8CeHVXZlG1ExdjuTQ,11756.0,345,69,0,0,valid
45,6kz6SeCEU9k,Opel Zafira E 75kWh im Check - Wie weit kommt der Strom-Kasten? I Motorvision,2020-11-06T15:00:02Z,UCrPoTKfvNvJhG1Ngf6jHB1w,8875.0,98,13,0,0,comment threshold
46,bCBI2K_Ms5U,Tesla Model 3 | Netflix an | YouTube an |Scheinwerfer aus?,2020-11-06T20:56:55Z,UCf6kkAGiOV_azeGaZ_gKVLQ,497.0,19,2,0,0,comment threshold
47,aVFrGPfqZlc,RÜCKGABE meines VW ID.3 1st Plus nach einem Monat | ID.3 - Model X - Zoe ZE.50,2020-11-06T09:30:00Z,UCHeWtVw_wNCUZkzc5wif2FQ,23038.0,331,86,0,0,valid
48,XHX8yv1kjxA,Tesla News 07 November 2020 Tagesthema Elektromobilität Nr.191,2020-11-07T16:00:10Z,UCHuXYLIv70fPKK9c60TwLQw,200.0,21,3,0,0,comment threshold
49,j3IDPA0XauA,Batterien günstiger recyclen | hessenschau,2020-11-07T22:24:55Z,UCCljzsYpepeNeY-nKPBKnhA,1660.0,40,4,0,0,comment threshold
50,9CUlCka8zBI,"Elektro schlägt Diesel, Doppelförderung wieder möglich, neue BMW Strategie, 5G und WLAN im Tesla",2020-11-07T17:51:39Z,UCBc0Mghy-6jhMXs3T7DluMg,11343.0,632,101,0,0,valid
51,lku3Me-PebA,1.001 € investiert: Top 10 E-Mobilität Aktien & ETF | Megatrends der Zukunft Ep. 1,2020-11-08T17:00:08Z,UCBaWAYK0Q_LobpCLpEFM5Ug,20430.0,1120,145,0,0,Topic
52,mGnd5f5BHfA,Fahrerlebnis Elektromobilität - mit dem VW ID.3 auf dem Dobratsch,2020-11-08T10:15:00Z,UC0XyHs6Z8GmJ4FFzh9wU0Mw,1799.0,43,8,0,0,comment threshold
53,6g__AeWRUtY,Europäischer Elektroauto-Anteil auf Rekordwert Tagesthema Elektromobilität Nr.192,2020-11-08T16:00:01Z,UCHuXYLIv70fPKK9c60TwLQw,192.0,18,3,0,0,comment threshold
54,29OwS6fhArQ,Der Tesla Vulkan Trip & Mission Gina Finden 💛,2020-11-08T17:00:46Z,UC3rz4cx41jWj7shRBTetzkw,43095.0,2197,136,0,0,valid
55,ZgSjCAjxvS0,KfW Förderung für Wallbox | Elektroauto ferngesteuert laden | Was man wissen sollte,2020-11-08T19:20:52Z,UCaCaZ-vKtnMG2_FKmEePChQ,18449.0,439,150,0,0,valid
