,video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id,valid
0,63Suk7z3b_4,Elektromobilität – Schlüssel zur Verkehrswende?,2020-10-01T09:04:38Z,UCOjGY6t0Y4-wXYBrVsZSqLA,289.0,5.0,2,0,0,comment threshold
1,ParrTA-fXIA,Verbrenner vor dem Aus? - Die Krise der deutschen Autoindustrie,2020-10-01T12:33:37Z,UCeqKIgPQfNInOswGRWt48kQ,116180.0,1024.0,1083,0,0,valid
2,W8Vqt-3P9M4,Audi e-tron Ausstattung per OTA kaufen - Functions on Demand (FoD),2020-10-01T06:00:02Z,UCXzAdSkGFtjrbuucfC-t7gA,3719.0,242.0,101,0,0,valid
3,C-A45UTBvpY,"Breaking Elektro-News: Kretschmann zweifelt an E-Autos, Premiere Ford Mustang Mach-E GT, E-Feuerwehr",2020-10-01T05:00:03Z,UCsNdsFTTBj5jcRJSWeJ8-Xg,5489.0,488.0,128,0,0,valid
4,TpY5EUppYyU,Was ist eigentlich... MONO und POLYKRISTALLINE Solarmodule? - Photovoltaik - Klein-Serie #5,2020-10-01T18:29:27Z,UCaCaZ-vKtnMG2_FKmEePChQ,2371.0,130.0,12,0,0,comment threshold
5,SK-sB4A2XBY,Technik aufs Ohr: Folge 24 Aktive und passive Sicherheitssysteme in Autos | PODCAST,2020-10-01T07:00:04Z,UCwJahEzu0jaSa3gk7Zgf2lg,278.0,5.0,1,0,0,comment threshold
6,lM1vCflKafE,Börsentalk Spezial: Gewinnchancen durch Wasserstoff-Technologie | Swissquote,2020-10-01T16:00:10Z,UC9cpFiBdx-sFVtdDRJXzbOA,1169.0,31.0,6,0,0,comment threshold
7,oVciE_ceMlE,"Neue Hyundai Kona 2020 !  - fährt er weiter der Konkurrenz VW ID4, Opel Mokka e & Kia e Niro voraus?",2020-10-01T06:30:04Z,UCuPH6ouleIo8IhmZy65m4pA,13871.0,217.0,52,0,0,valid
8,XagOdO7Th6k,Erste Verbote von Benzin und Dieselautos Tagesthema Elektromobilität Nr.155,2020-10-02T15:00:30Z,UCHuXYLIv70fPKK9c60TwLQw,255.0,28.0,2,0,0,comment threshold
9,EgHS3oovNzs,Preiswahnsinn bei Schweizer Ladeanbietern! - Der grosse Vergleich [Deutsch] | Vision E Drive #28,2020-10-02T16:00:03Z,UCDMd4FzBxxKD5yAeeLStU6A,4282.0,275.0,70,0,0,valid
10,o1uCGpbylPo,"SUPER SOCO CPX ⚡ Bester E-Roller am Markt? ⚡ Unboxing, Test, Anleitung, E-Roller, E-Motorrad (DEU)",2020-10-02T18:30:11Z,UC3yeO-6AM65HYwLMN0ST7ZQ,27597.0,486.0,41,0,0,comment threshold
