,video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id,valid
0,8L-9lQfsUVs,18% der verkauften Autos im Juli waren Plugin Tagesthema Elektromobilität Nr.124,2020-09-01T15:00:02Z,UCHuXYLIv70fPKK9c60TwLQw,90,8,2,0,0,comment threshold
1,dmAf2-FusM4,BOMBE PLATZT: Elektroauto EUROPAWEIT für 39 Cent DC LADEN!!,2020-09-01T08:32:47Z,UCiZnK4X73okItJqaCs2YDOQ,58269,3165,747,0,0,valid
2,DqCGEJDxP9o,VW ID.3: zum Erfolg verdammt? Der Volksstromer im nextmove-Test,2020-09-01T16:00:08Z,UCgmB8S3f8-9dR8alVUZuZxQ,126116,4243,1460,0,0,valid
3,fZBJRPvQ8Wc,Neufahrzeug brennt bei Ladevorgang | Ford Kuga Plugin Hybrid brennt | Elektro Konstruktionsfehler?,2020-09-01T15:24:43Z,UCaCaZ-vKtnMG2_FKmEePChQ,12506,310,80,0,0,valid
4,32Nh99_HiIU,"Neues Auto zum Ende vom ROADTRIP, vom Nürburgring nach Hamburg im Hyundai Kona Elektro!",2020-09-01T16:00:01Z,UC7gqKyCHYENWESm3mGcJO5A,23426,806,100,0,0,valid
5,NV0BpC1X_-Q,E- Mobilität einfach erklärt- die 10 am häufigsten gestellten Fragen,2020-09-01T17:00:09Z,UCBCT7EV5YrNLPvrhXYTHJuw,1425,176,64,0,0,valid
6,k7NpxL6Uv5Q,Reichweiten-Tipp zur Batterie-Gesundheit bei E-Autos: 33km mehr Reichweite beim Tesla Model 3 durch,2020-09-01T17:00:19Z,UCSwRhu8CeHVXZlG1ExdjuTQ,10502,482,108,0,0,valid
7,NLMjME3WZAI,Dirk Harbecke: Goldenes Jahrzehnt für Lithium-Ionen-Batterien?,2020-09-01T08:42:22Z,UC62IIFhchBWQxLPSyUatD-A,10411,207,36,0,0,comment threshold
8,SyjzSiBh2FQ,COOLSTER ELEKTROROLLER - Was kann mein neuer E-Scooter „Chopper M1“,2020-09-01T17:30:00Z,UCaCaZ-vKtnMG2_FKmEePChQ,71526,1109,282,0,0,valid
9,ExNaGYyO6tM,2021 SKODA ENYAQ iV Fakten!,2020-09-01T17:30:00Z,UCdZ9F6bap1b7JQZ1pZiFJ_w,15881,271,81,0,0,valid
10,xoAzFu3Q-zE,"Das ist Bioökonomie! Podcast - #8 ""Superkondensatoren aus Biomasse"" mit Muhammad-Jamal Alhnidi",2020-09-01T17:57:35Z,UCduBLZZzLra2bm5jHleEfhQ,222,13,1,0,0,comment threshold
11,9znzxevIkCI,Amazon ordert 1800 elektrische Mercedes Transporter Tagesthema Elektromobilität Nr.125,2020-09-02T15:00:06Z,UCHuXYLIv70fPKK9c60TwLQw,220,13,5,0,0,comment threshold
12,5w0kJHWOVpc,Erster Test: Volkswagen ID.3,2020-09-02T12:20:36Z,UCnikDukSJjN6IcrzZll6Dsg,2658,89,13,0,0,comment threshold
13,gDiwAhqOn-A,VW ID.3 | Gesamtkosten und Preisvergleich mit Golf TDI und eTSI,2020-09-02T14:48:18Z,UCDDj2GWklzZ09X7R9OtsX3Q,4872,188,41,0,0,comment threshold
14,TL9DP5Gxmdk,"Pekings Aufschwung, Boom im Marketing & die Türkei im Glück",2020-09-02T15:17:27Z,UCACdxU3VrJIJc7ujxtHWs1w,4485,36,15,0,0,comment threshold
15,vEfLZot3Ui8,Welche Dachfläche bringt ausreichend Ertrag?,2020-09-02T15:53:10Z,UCisCApL30WWwg9wyXeKVz2Q,911,17,1,0,0,comment threshold
16,qOZEveD5-Nc,Der VW ID.3 ist KEIN Golf | MEB Baukasten oder Plattform?,2020-09-02T11:17:22Z,UCHeWtVw_wNCUZkzc5wif2FQ,6191,217,127,0,0,valid
17,GHb1rYBng8A,Polestar2 wird nun in Deutschland ausgeliefert Tagesthema Elektromobilität Nr.126,2020-09-03T15:00:08Z,UCHuXYLIv70fPKK9c60TwLQw,366,21,4,0,0,comment threshold
18,cQaLNgHF-5c,Robin LIVE 🔴  Elektroautos deutlich klimafreundlicher als Verbrenner,2020-09-03T19:19:21Z,UCBc0Mghy-6jhMXs3T7DluMg,5314,209,34,0,0,comment threshold
19,-T-pRHvHGOk,Laden beim Einkaufen bekommt Schub - Neues Gesetz bringt bis zu 6.000 neue Ladestationen,2020-09-03T15:30:00Z,UCd5Jpd5473VPhNjdWMUP6tw,15952,1216,280,0,0,valid
20,NQ4UbBvi5YU,"Breaking Elektro-News 60.000 ID.3 2020, 1.800 eVito/eSprinter für Amazon, Fehler Elektrosystem e-Up!",2020-09-03T05:00:04Z,UCsNdsFTTBj5jcRJSWeJ8-Xg,8175,578,99,0,0,valid
21,OspZWXLg_0A,ŠKODA elektrischer SUV ENYAQ iV hat 510km Reichweite Tagesthema Elektromobilität Nr.127,2020-09-04T15:00:12Z,UCHuXYLIv70fPKK9c60TwLQw,367,13,4,0,0,comment threshold
22,I_DZhZoBA-M,Die Öko-Strom Lüge - Gefahr Stromausfall,2020-09-04T09:30:01Z,UCaCaZ-vKtnMG2_FKmEePChQ,3731,252,101,0,0,Topic
23,YjpHoiPHZ7U,Erste ID.4 Testfahrt - VWs Angriff auf Teslas Model Y,2020-09-04T14:12:48Z,UCgmB8S3f8-9dR8alVUZuZxQ,307078,4596,1550,0,0,valid
24,Fxn6AcyI4NI,Vom PETROLHEAD zum VW ID3 - 1st MAX | #01 Videoserie mit Carsten | EFIEBER,2020-09-04T16:00:15Z,UC7yTmxTaRki-3qVGF14Tchw,1101,58,10,0,0,comment threshold
25,Xy-dhI5dNYU,Zero SR/F Fahrbericht - Elektromobilität auf 2 Rädern. Sinnvoll?,2020-09-05T07:30:10Z,UCFSJAfZTxBx9GsnItsu9vmg,5496,97,71,0,0,valid
26,6QF4smMnZig,Elektroautos verursachen wesentlich weniger CO2 Tagesthema Elektromobilität Nr.128,2020-09-05T15:00:02Z,UCHuXYLIv70fPKK9c60TwLQw,139,21,1,0,0,comment threshold
27,zVLJI3PhJoI,Wieso ein Tesla (derzeit) mehr C02 freisetzt als ein Diesel und mit 100% Kohlestrom fährt,2020-09-05T07:15:03Z,UCSExr_QUT6h-4sGW5hGjrCA,79711,5304,2477,0,0,valid
28,y1So9EWuW8E,E-Cannonball 2020: Mein Herausforderer und aktuelle News.,2020-09-05T12:43:30Z,UCqtBzOjVW0aLVZHaRYu7dpQ,8252,460,71,0,0,valid
29,Ca3uP2V5xUU,"nextnews: VW ID.4 Preise, Tesla Rekord, Skoda Enyaq, Elon besucht Gigafactory, neue Erlkönige, Lexus",2020-09-05T16:00:24Z,UCgmB8S3f8-9dR8alVUZuZxQ,71932,2540,859,0,0,valid
30,-F5IjqE6bKQ,reFuels: Regenerative Kraftstoffe als Baustein einer CO2-neutralen Mobilität,2020-09-05T17:00:00Z,UC4R4my1Lnbcg8piOM_dYGtg,694,15,1,0,0,comment threshold
31,BMLO9PfiHfU,Tesla Neuigkeiten der Woche Tagesthema Elektromobilität Nr.129,2020-09-06T15:00:02Z,UCHuXYLIv70fPKK9c60TwLQw,383,41,2,0,0,comment threshold
32,zwOwcrBoRHg,E-Cannonball 2020: Peter fordert mich heraus mit seinem Taycan,2020-09-06T06:30:02Z,UCSzR9ZpI6WwfB7Mtp_lKkvg,1311,63,8,0,0,comment threshold
33,8PcLsTPNREk,"Macht Tesla allen was vor? Wo stehen Lucid, Mercedes EQS und China? Analyse mit Horst Lüning",2020-09-06T06:00:00Z,UCqtBzOjVW0aLVZHaRYu7dpQ,57687,2480,565,0,0,valid
34,Z0oKOiX-2xo,Starke Stimmen mit Udo Gillich von ZF Friedrichshafen,2020-09-06T19:06:22Z,UC3VIJuG4taRjm_wMm01D0zg,720,17,4,0,0,comment threshold
35,htt_hEZfyI4,1500 PS Elektro Power | FORD Mustang Cobra Jet 1400,2020-09-06T15:17:05Z,UCDDj2GWklzZ09X7R9OtsX3Q,1590,85,9,0,0,comment threshold
36,VnED_RFjnYk,Installateur-Total Vorstellungsvideo,2020-09-06T16:07:54Z,UCxRAKvRih51mqk76jFzRbrQ,869,68,4,0,0,comment threshold
37,kjGlMtQeGIo,"Arbeiten beim Laden im Tesla Model 3 - Der TesmeX Table im Test | Tips, Tricks & More",2020-09-06T16:00:09Z,UC-s__WrmBUAGRQqeZxcFxlQ,9646,480,78,0,0,valid
38,xm1EHrT5aGk,"Skoda Enyaq überrascht im Vergleich zum Tesla Model Y, EQC, I-Pace auf der 500-km-Strecke",2020-09-06T16:00:11Z,UCSwRhu8CeHVXZlG1ExdjuTQ,36293,488,175,0,0,valid
39,as2jX7ixBbw,Volkswagen Aktie -Trend verschlafen oder unterbewertet? | Jetzt kaufen?,2020-09-06T11:00:00Z,UCaGbhILmFqLDXj7mRDvDVtQ,3315,280,39,0,0,comment threshold
40,DlfngJRw7c0,ElektroMobilität NRW im Interview beim Tag der Elektromobilität Solingen,2020-09-07T07:44:55Z,UCHuljgAv3cA3GPKevRpE0Nw,117,3,2,0,0,comment threshold
