video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id
aTHyYrLPKNo,E-Cannonball 2020 und was ihr wissen müsst.,2020-08-01T17:00:01Z,UCSzR9ZpI6WwfB7Mtp_lKkvg,21828,162,14,0,0
BQ7i4HBw80w,Ladezeiten beim E-Auto,2020-08-01T14:23:18Z,UCisCApL30WWwg9wyXeKVz2Q,506,11,4,0,0
YVS-kMjuYZc,E Mobilität vor dem Durchbruch? Geht es jetzt endlich los?,2020-08-01T19:07:47Z,UCjuUo23G7j4gzl2sHGIjZCw,2674,213,82,0,0
ChC_Uo9GzVY,Elektroauto Gebrauchtwagenkauf  | auf was muss ich achten?,2020-08-01T13:34:09Z,UCBTJnSirNI8kwOn5ROB_BGA,1512,58,21,0,0
rWqWBbMdWqc,Photovoltaik #1 Umsatzsteuer Voranmeldung Informationsvideo meiner Tabelle. Auf vielfachen Wunsch.,2020-08-01T12:00:13Z,UCdshQendBd3kmulG0hlDzDA,18528,330,45,0,0
4_-g6gvNiwM,Wallbox Unboxing: Heidelberg Wallbox Home Eco 11kW Ladestation für Elektro- und Hybridfahrzeuge,2020-08-01T12:11:19Z,UCgvkmHMXocKEU7_6hY-GUfQ,3739,36,16,0,0
nnim58W0FEk,Verkehrswende & sinnvolle Alternativen | mit YadBo über Elektromobilität,2020-08-02T18:25:10Z,UCaCaZ-vKtnMG2_FKmEePChQ,3383,183,51,0,0
O3IFeMs44is,daheim und unterwegs 20.04.2017  Alternative E-Auto,2020-08-02T11:31:30Z,UCqvrLE2EjhUOfUSjKe-hcyQ,19,2,1,0,0
dwBxC8OCZmY,"Kann man einen TESLA SELBST reparieren?! | Tips, Tricks & More",2020-08-02T16:00:19Z,UC-s__WrmBUAGRQqeZxcFxlQ,11026,594,48,0,0
k3TDvmwwutc,SKY 2 Revenge - Die besten Elektroroller der CH nur bei Easymotors Schweiz Vespino SUV Next Ridelec,2020-08-02T10:41:25Z,UC__BDbgx_d-DwbZHzQtlJQA,2471,24,3,0,0
LuUkcTjG9Ik,ZOE | Nicht ganz dicht? Teil   2,2020-08-02T13:00:03Z,UCbPq7xtjc_nnOQxoMTvKcqA,5277,176,18,0,0
ewQaeKFVXW0,"#ENF118 20k EV Kandi, Izera Polens EV Hoffnung, Sion Infotainment Update, ID.3 Testfahrten, uvm.",2020-08-02T09:56:51Z,UCAhqXf93x97k2VB1OH_8Spw,1264,127,12,0,0
GAcEcH5uCbM,Ich teste Kumpan E-Roller aus Deutschland (feat. Oskar) | dieserdad,2020-08-02T09:00:03Z,UCEOwVSbkn8pY_jVwhU4pNkg,15722,677,116,0,0
d6whtYECl1w,"Zurück aus dem Urlaub I Ärger mit Eon.Drive I Geheimmenü Deltacharger, limitierte Ladesäule erkennen",2020-08-02T07:30:01Z,UCDJ45QyDA0gS3ZaX3p6skBQ,1705,136,103,0,0
tN37Rovjnr4,Electrifedwomen Vereinsgründung,2020-08-03T13:01:51Z,UCpglJai_cgwVp5yqVrsJ-5w,124,15,4,0,0
t1OjjQRtS2A,"TESLA MODEL Y | 5 Fakten, die du noch nicht kennst ⚡",2020-08-03T16:30:50Z,UCDDj2GWklzZ09X7R9OtsX3Q,24268,901,99,0,0
