video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id
2V7WyW2EDs8,"Toyota baut nun doch Elektroautos, Polestar erweitert Marktgebiet Tagesthema Elektromobilität Nr.245",2021-01-01T16:00:00Z,UCHuXYLIv70fPKK9c60TwLQw,355,24,3,0,0
NnlCTVLX7_s,Neujahrs Frühschoppen - Was bringt 2021,2021-01-01T11:26:48Z,UCaCaZ-vKtnMG2_FKmEePChQ,4856,414,85,0,0
ZQY_uxlDAUM,Allgemeines zu Elektromobilität & Tesla - Interview Video #1,2021-01-01T16:25:31Z,UCYDlbRlYy4YvaqDNQk54YWw,264,15,7,0,0
K_ANWNjhxZI,Ich verkaufe meinen IONIQ electric,2021-01-01T11:00:05Z,UCXzAdSkGFtjrbuucfC-t7gA,10779,512,289,0,0
jHUuuir06SY,"nextnews: Fieser Kostentrend, Variable Supercharger Preise, XPeng G3, Ioniq 5, Verbrauch PHEV, EEG",2021-01-01T17:00:13Z,UCgmB8S3f8-9dR8alVUZuZxQ,85837,4330,1322,0,0
oi4nNcZbeYo,Elektroautos sind leise - Kanaltrailer verkunstet.unterwegs 2021,2021-01-01T09:00:13Z,UCyw3E91jaNVEPqirEyhMRRw,699,34,21,0,0
p8jrNZc-Wfs,DIE BESTEN ELEKTROAUTOS 2021 | TEIL 2 + Exoten (alle DATEN und PREISE),2021-01-01T13:20:22Z,UCDDj2GWklzZ09X7R9OtsX3Q,31462,992,61,0,0
9Jpk3WYU-Wc,Mein neues Elektroauto!,2021-01-01T08:00:02Z,UCBc0Mghy-6jhMXs3T7DluMg,33834,1932,516,0,0
N3YPVD6c5F8,Mobile 150 kW Schnellladesäule | DC Wallbox von Volkswagen | Electric Drive News,2021-01-01T19:41:03Z,UCxmohYAjhc2qD5pYIOwQ3bA,8521,173,39,0,0
tiTTCSWBQUo,Eine halbe Million Nissan Leaf! Erfolgsmodell und Pionier - das Elektroauto Nissan Leaf,2021-01-02T19:53:53Z,UCBTJnSirNI8kwOn5ROB_BGA,547,29,14,0,0
lBhZ-GOyf5s,Das Schnäppchen der Ladekabel - mit Stern,2021-01-02T19:30:24Z,UCXQevkK8k59x0bEWjoHy9cw,4359,109,17,0,0
zJV-niiXQWY,Model Y bald mit Biowaffenfilter Tesla Neuigkeiten 2 Januar 2021 Tagesthema Elektromobilität Nr.246,2021-01-02T16:00:30Z,UCHuXYLIv70fPKK9c60TwLQw,796,54,5,0,0
3xuFOh_3g3Y,Volkswagen VW Mission Tesla und meine Gedanken dazu.,2021-01-02T08:00:12Z,UCgcn_rHI1QgT-57q_sfzyDg,3509,233,176,0,0
c7SncqUJD3A,VW T2 Elektro Bus Transporter ID BUZZ Vorgänger,2021-01-02T07:00:05Z,UCxmohYAjhc2qD5pYIOwQ3bA,1560,43,6,0,0
cyu2Di0IUAc,"“Klimakrise, Konsum und das tägliche Leben” von Dr. Dominik Wiedenhofer (Klimawoche JKU Sep. 2020)",2021-01-02T15:34:00Z,UCA75BdEbOXCw8ZhjCZ9hBSQ,349,10,3,0,0
34INookHxzE,"Neue Elektroautos wie Ford MachE, Smart ForMore und andere Tagesthema Elektromobilität Nr.247",2021-01-03T16:00:00Z,UCHuXYLIv70fPKK9c60TwLQw,305,24,2,0,0
2HCgTLSvFj4,2021 Förderung für E-Mobilität in Österreich neu!,2021-01-03T19:51:56Z,UCf3enJ3vAEW57CMRV3sScBQ,5469,174,34,0,0
g8IjY4Y94F4,Zeit für Neujahrsvorsätze,2021-01-03T08:30:02Z,UCpcKynFD5yguZcZI_dbmXOA,2257,3,1,0,0
z9VFkAGXLcw,Wie E-Autos den Strom sauberer machen - Brauchen wir Ökostrom Verträge?,2021-01-03T19:21:12Z,UCaCaZ-vKtnMG2_FKmEePChQ,5820,498,81,0,0
2xOOXCJTzFc,LEVC TX Taxi City 2021 Platz für 6 Personen und mehr...Preise  Förderung Reichweite Verbrauch,2021-01-03T22:14:51Z,UCH0_5UeOyvhmvbxTJg9Jdww,655,25,4,0,0
3v3dPqKLz1o,"GEOS, Coboc und Urban Drivestyle im Test bei Magenta TV",2021-01-03T07:51:36Z,UCKO9VPDAMMJ3EWeWMmq2Eug,9688,47,10,0,0
-FYFbSEnWA4,BYE BYE 2020!!! - Der Anfang vom Ende der klassischen Tankstellen!,2021-01-03T07:00:01Z,UCqQGYPEU7DiNA6bUUmehb8g,10219,844,256,0,0
7GcfkpClObo,Ladeinfrastruktur in Deutschland,2021-01-03T08:00:04Z,UCJV3-3aSn2Qa8BLaqSAzm3A,2877,200,86,0,0
on-_Vr5xEPY,"#ENF139 EV News Frühstück mit Fotos vom neuen Model S, neue Batterienfabriken, Happy 2021, uvm.",2021-01-03T10:49:51Z,UCAhqXf93x97k2VB1OH_8Spw,1943,165,24,0,0
02KUb4ls-xo,Entwicklung der Elektromobilität und Energieerzeugung Tagesthema Elektromobilität Nr.248,2021-01-04T16:00:00Z,UCHuXYLIv70fPKK9c60TwLQw,209,27,2,0,0
