video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id
LOSgVjTVpAs,"Bagger, Motorräder, Trucks: Elektromobilität auf der Technik-Messe in Las Vegas",2022-01-06T22:36:45Z,UCACdxU3VrJIJc7ujxtHWs1w,664,12,1,0,0
ofGhcrRErxo,Die WAHRHEIT über ELEKTROAUTOS im WINTER 🥶,2022-01-06T14:49:45Z,UC3rz4cx41jWj7shRBTetzkw,73232,3283,586,0,0
hDXhsH8gS4c,Breaking Elektro-News: eAutos eilen von Rekord zu Rekord! VW streicht ID-Varianten! Lithium aus GER!,2022-01-06T06:00:11Z,UCsNdsFTTBj5jcRJSWeJ8-Xg,12453,817,103,0,0
qPVsQ_8BNew,Wintertest - MG ZS EV Facelift 2022 - Autobahn-Reichweite und Verbrauch - Preis-Leistungssieger?,2022-01-06T15:00:35Z,UCd5Jpd5473VPhNjdWMUP6tw,26325,1074,194,0,0
h9ft3blCTPs,Hocheffizienter Antrieb für E-Nutzfahrzeuge – Felix Horch vom Fraunhofer IFAM – „electrive.net LIVE“,2022-01-06T14:00:18Z,UC_vO01sSD25a73DhoaxtZTw,1416,59,2,0,0
L96YoJqb2Ws,TESLA Model 3 LADEN - Supercharger V3 5-80% Ladegeschwindigkeit und Preis,2022-01-06T17:05:18Z,UCnEEC46gghhncsBjuxgxEvw,3229,113,42,0,0
i1daraC3fC4,"Drei Gründe, die dafür sprechen (Hättest du´s gewusst?!)",2022-01-06T16:30:06Z,UCBE4KHslSSQegsWJHU8-2yQ,1839,130,10,0,0
1epRHrZ9znQ,TESLA: Model Y mit neuen Farben aus Giga Berlin,2022-01-06T15:01:00Z,UCpPbcfwq0wOpWrC0gBs73tQ,22798,1090,87,0,0
ThRnh1vAqjE,"Winter-Roadtrip mit dem Skoda ENYAQ iV 80x ins Prättigau - Infos zu Reichweite, Laden und Genuss 4k",2022-01-06T17:00:18Z,UC0cCZpU5Ioj1FOuIzj7cSsQ,9740,333,79,0,0
k8Qqnv8A_08,4 NEW SCOOTERS AT CHEAP PRICES 2022 - MODERN AND ECO-FRIENDLY DESIGN.,2022-01-06T12:00:10Z,UCocryMxIfzSWVLnq8Kzec9g,181858,1338,78,0,0
pGGybo3J_Gc,Tesla Model 3 | LFP Akku | Full rated Range | Rated Range | SOC 101% | Zellen Kalibrieren | SuC |,2022-01-06T21:35:56Z,UCf6kkAGiOV_azeGaZ_gKVLQ,859,41,17,0,0
-MRzOjINRsQ,aa | Türkisches Automobil TOGG in Las Vegas enthüllt / 2022,2022-01-06T15:20:59Z,UCVDrSV445cjboM3mw-vLjFw,4603,98,26,0,0
-w1exIqiK3Q,TOGG Car from Turkey | Erster türkischer Auto | Car Rampage,2022-01-06T07:41:06Z,UC4ViMAkJk1VTf59KKx88fDw,439,24,5,0,0
NuN7wX3kNCk,"#xbus, 10.000 km gratis im Jahr?, Solardach durchgerechnet",2022-01-06T16:00:11Z,UCtjTTWEgZOqIQH4Zf8ltS2w,7822,233,45,0,0
-pZn5sGzOF8,Was ist NEU bei TESLA? | 12 Teslas im Lichtspektakel | Beste Ladekarte,2022-01-06T16:07:24Z,UC96MGGyxaZZQ6aFKSVMHIew,1565,124,14,0,0
3t2ABxN5bBA,Die Energiekrise ist da - jetzt wird es teuer (achte darauf),2022-01-06T17:00:03Z,UCY1ntSfj-BKiXD6A5j6S4Nw,553,22,4,0,0
6JtU5QHjpj8,2022 Kia EV6 - der beste in seinem Segment! Review und Fahrbericht,2022-01-06T17:54:46Z,UCBq-jldJjCMXt1Pk9o79CJg,4027,87,26,0,0
yC_H5wC4uQU,Hausbau 2022: Photovoltaik-Pflicht trotz Handwerker-Mangel? KfW Förderungen geschickt kombinieren!,2022-01-06T19:30:03Z,UCqQGYPEU7DiNA6bUUmehb8g,3425,300,75,0,0
1gUNNIrNkAU,AfD Politiker über unzuverlässige Schnelltests und Chaos in der Corona-Politik,2022-01-06T16:46:57Z,UCBoIJhUfNcn8G_odWECKVIA,55532,6298,738,0,0
EdhgjV6lhLU,Börseneinstieg Teil 2: Die erste Geldanlage,2022-01-06T18:08:47Z,UCbVKbf2Jq-IryEulLlGCuUw,228,16,4,0,0
XlaFqCCKzG4,Eine scheiternde Zivilisation,2022-01-06T16:15:13Z,UCA7qhn6AISRXjCjF4LSeukQ,1815,49,32,0,0
IqgUOKR0mb0,"Bringt Mir Wein, oder warum BMWs Kommunikation nur noch mit Alkohol zu ertragen ist.",2022-01-07T16:00:06Z,UCddkvrnYqGRfODPMUQqisiw,12390,897,364,0,0
sw_QNi9SEPk,Eine Woche Porsche Taycan 4S: Warum man Verbrenner nicht mehr braucht und das E-Auto funktioniert.,2022-01-07T16:31:48Z,UCuP3RJ8LCsMJpRpmGkUp13g,4122,109,50,0,0
KpqSn7EuRww,Notfalltermin im Tesla Service Center Straßburg - Es knarzt und knackt,2022-01-07T14:51:00Z,UCjuUo23G7j4gzl2sHGIjZCw,3772,261,42,0,0
9t_lG6RWeRE,"nextnews: Tesla Preise & Rückruf, Strompreise, Bafa Update, Mercedes EQXX, Chipmangel, Überfall,Giga",2022-01-07T17:00:05Z,UCgmB8S3f8-9dR8alVUZuZxQ,109137,5813,607,0,0
i1CLdjj-Fw4,Mit dem Elektroauto GELD VERDIENEN: THG-Quoten-Update,2022-01-07T06:00:22Z,UCsNdsFTTBj5jcRJSWeJ8-Xg,5015,439,80,0,0
NtypQwA7CFA,Skoda Enyaq Alltagstest - wieso er das beste E-SUV aus dem VW Konzern ist!,2022-01-07T16:00:16Z,UCaTyFx9Llt5nQRAFjZyowow,58620,492,108,0,0
cVwm_4XOZIk,STAT E-STICS #52 | Opel Insignia Elektro mit 800 km Reichweite und Festkörper-Akku,2022-01-07T16:34:32Z,UCDDj2GWklzZ09X7R9OtsX3Q,54891,804,60,0,0
4scyM_60gGk,Schnäppchen Elektroauto: Das sind die Kosten für unseren Renault Zoe in Verbindung mit Photovoltaik,2022-01-07T16:00:07Z,UC-k-5F2j4CUzuwkx1QLRlpA,8367,525,148,0,0
WJhZuyLsOQ0,THE iX ⚡ – Wir zeigen euch die optischen und technischen Details des neuen BMW iX,2022-01-07T12:30:15Z,UC411cas-bxHNhbeub7Shl4A,6317,14,3,0,0
GV4aGQcp_lI,⚡ Ladeparadies für E-Autos - Rundfahrt zu den Schnellladeparks am Weinsberger Kreuz und Heilbronn,2022-01-07T12:52:16Z,UCMZbix9CwEuL6l9SJIb2Zxw,719,70,26,0,0
EbbYghSgBB4,"PROJECT NEWS - KLEINE E-AUTOS: STARK GEFRAGT, KAUM GEBAUT!, BMW iX M60 PREISE, MERCEDES EQXX,...",2022-01-07T11:00:17Z,UCOmyWleEFm8SZti-YW26t7w,733,96,13,0,0
lkaI9Qk9VO4,"Interview mit Ladeanbieter GOFAST - Kosten, Ausbau, Ziele [Deutsch 4K] | Vision E Drive #141",2022-01-07T17:00:37Z,UCDMd4FzBxxKD5yAeeLStU6A,2122,271,42,0,0
d9a6hbZHFh8,TESLA: Reaktion auf Europa-Nachfrage ++ Expansion China,2022-01-07T15:00:48Z,UCpPbcfwq0wOpWrC0gBs73tQ,14722,839,63,0,0
Mma3-epbmGo,Photovoltaik Auswertung - Jahr 2021,2022-01-07T12:07:18Z,UCsFn3MVZBT1_GWFzgv4QF3A,491,19,5,0,0
QJ_YLQgJLMo,Schnell nachgerechnet: Daimler Aktie,2022-01-07T18:23:31Z,UCcjLJ9TsTIFldXXnmp23pRA,112,8,1,0,0
-AuxW-5Oq1A,Lynk & Co 01 Plug-in Hybrid (2022) Bitte NICHT kaufen! AutoAbo für 500€! Fahrbericht | Review | Test,2022-01-07T16:00:00Z,UCy9Y4en2y1eR1zwcmFkRMzg,28755,316,90,0,0
ZbXtfP1A250,Mazda MX 30 - Rightsizing oder Rückschritt ?,2022-01-07T12:28:55Z,UCbe4BpM5-Ta7MIlbKOofTDA,24314,639,229,0,0
NPnpzclO6gI,In 2 Minuten 430€ verdienen als Elektroautofahrer (KEIN CLICKBAIT),2022-01-07T13:02:25Z,UCON5Yw29gbeuLcsFygltr6Q,297,16,1,0,0
Znu9AvVZr6E,"Small Modular Reactors (SMR): Kleine modulare Reaktoren /Grundidee und Übersicht, Vor/Nachteile,",2022-01-07T23:11:10Z,UCT5nXIRHzhRxwCY-_LH1SQA,1669,109,71,0,0
tUdr5IFTS7o,Heidelberger Druckmaschinen Aktie: Wie nachhaltig ist die Verfünffachung? | Anleger Forum,2022-01-07T16:00:23Z,UCdpjjouypP9dZFkgO7lPEHg,922,36,15,0,0
yTZGShGk_wg,Winterliche Grüße aus Bad Marienberg,2022-01-07T17:14:07Z,UCt1tNnYzf8Y7ZpFSG2U2WYQ,1466,212,107,0,0
owLKlJLSidI,"Telegram ist UNSICHER! (Ernsthaft, sogar Whatsapp ist sicherer)",2022-01-07T16:00:05Z,UC1t9VFj-O6YUDPQxaVg-NkQ,21116,1076,223,0,0
JxriQfdHWsE,Zeig mir dein PV Angebot #16 - Rechnet sich Photovoltaik auf dem Norddach?,2022-01-07T18:30:11Z,UC4t0KuLYBiXqXF27UtjLxPw,2684,149,101,0,0
qqXMLP4Rhys,"WHO warnt vor Omikron-""Tsunami"": Welle schwappt bis nach Norwegen",2022-01-07T06:28:34Z,UCACdxU3VrJIJc7ujxtHWs1w,795,14,29,0,0
VfdVJ83efy0,"„Spaziergänge für die Freiheit“ – 7 Tage Deutschland, der AfD-Wochenendpodcast 01/22 vom 07.01.2022",2022-01-07T12:42:15Z,UCq2rogaxLtQFrYG3X3KYNww,37346,4747,623,0,0
jbtR7dD8PSg,"Djokovic und seine Medizindaten - Weltwoche Daily Deutschland, 07.01.2022",2022-01-07T05:30:07Z,UCq-b0dwW97YRZWgSCikWQRA,47047,2775,348,0,0
e49qAz4eOAw,Elektromobilität Elektro Auto sinnvoll? Unberechenbare Strompreise | Auswirkungen | lohnt sich das?,2022-01-11T15:41:16Z,UCoBbmYELrtLAdwq0vB4nwow,485,9,14,0,0
rnOF3Wo7vyQ,Elektromobilität ist schlecht!,2022-01-11T15:00:33Z,UC5GkgrVlPsiE6nDYHbIHGkw,189,11,11,0,0
a8hvOUcQdRY,Kostenloses ELEKTRO FLUGZEUG für PHOTOVOLTAIK | Solaranlage für Flughäfen | Flug Taxi,2022-01-11T16:30:00Z,UCaCaZ-vKtnMG2_FKmEePChQ,4473,365,45,0,0
_b24Ivn6nFc,TESLA Model 3 Performance  - Gerade verkauft! Bilanz und Fazit! Warten auf den Nachfolger!,2022-01-11T15:30:06Z,UCasePAQ_q7tbUGybICCj4NQ,9557,363,61,0,0
xRCCUaPFcxM,"eMobility update: Tesla erhält Vorab-Genehmigung, Mercedes baut E-Antrieb selbst, Chevrolet EV, Togg",2022-01-11T11:00:12Z,UC_vO01sSD25a73DhoaxtZTw,10307,603,23,0,0
1AbnQdFu_KE,370 € Prämie für JEDES Elektroauto in 2 Minuten? THG-Quote 2022 – Anbieterübersicht + Fairnergy,2022-01-11T17:45:01Z,UCc-JL79TndxMn8EYS-7Ic1Q,1440,39,7,0,0
S8y6pKiHKdI,Skoda Enyaq iV 80 Langstreckentest - wie weit kommt er im Winter bei 140 / 120 KMH?,2022-01-11T16:00:25Z,UCaTyFx9Llt5nQRAFjZyowow,59764,711,224,0,0
h4zh-Gr0-es,Nachgefragt bei Timo Sillober: Was bringt 2022 für die E-Mobilität bei EnBW? | EnBW,2022-01-11T09:17:50Z,UCvUn_GJ9ZqsFMvLWVuqOzbg,862,34,4,0,0
Iocus88MkXk,⚡ Wie teuer ist mein Elektro-Auto wirklich -  Meine Ladekosten und Kennzahlen für 2021,2022-01-11T15:00:08Z,UCMZbix9CwEuL6l9SJIb2Zxw,644,51,12,0,0
FPSvXt0oHPE,Elektroautos & Wasserstoff | Feuerwehr Berlin wird nachhaltig,2022-01-11T09:00:11Z,UCMlirlzQIUpfb3uC5LXB17Q,3976,229,26,0,0
cEhfFodigAg,"Ford Mustang Mach-E | Autobahn Winter-Test (Reichweite, Verbrauch, Navi, Assistenzsysteme)",2022-01-11T16:02:16Z,UCDDj2GWklzZ09X7R9OtsX3Q,8313,315,34,0,0
UZTA8aBf7FE,TESLA: Nächster Rohstoff-Deal & Model 3 Standard update!,2022-01-11T16:01:24Z,UCpPbcfwq0wOpWrC0gBs73tQ,13432,767,45,0,0
k0LvOzRYK7c,Habeck kündigt zwei Klimagesetzespakete für Energiewende an,2022-01-11T11:30:09Z,UCcPcua2PF7hzik2TeOBx3uw,12931,76,91,0,0
Ypcoqydyzzw,Aktienmarkt aktuell: So steht es wirklich um die Aktienmärkte,2022-01-11T12:49:16Z,UCN5FOXOJfpX-edVOhd2k1kQ,211,10,3,0,0
bNggLDIYFH4,Powell vor dem US-Kongress – US-Inflation im Fokus,2022-01-11T11:33:17Z,UCsekpwdMv9PBCOftuuKncfw,1630,49,15,0,0
cIBTvPm4rVI,Tesla Model3 Standard Range Winterreichweite Ladezeit 10-100%,2022-01-11T15:00:30Z,UCVUBc0WF5X-w3T8s6Wyx-jw,23779,1012,457,0,0
0QHOYABGhPw,Sichtbare Quanteneffekte in Nanopartikeln | #12 Nano Vorlesung Ganteför,2022-01-11T10:00:01Z,UCxXmS6BkfhCALrPyCJKmPyg,9354,231,34,0,0
-_v_1cVFhYY,MG ZS EV Facelift,2022-01-11T09:10:32Z,UCUiCcZueuzzxedtHg7Le5sA,17813,,2,0,0
_ZMzk3MqsaE,THG-QUOTE und UMWELTPRÄMIE für ELEKTROAUTOS in der Steuererklärung! Keine Steuerberatung 😊,2022-01-11T08:17:04Z,UCsNdsFTTBj5jcRJSWeJ8-Xg,6459,491,60,0,0
nT5z8GlWb8U,MoonBike Snowbike | elektrischer Fahrspaß für die Berge | CES 2022 Highlight | Electric Drive News,2022-01-11T06:00:10Z,UCxmohYAjhc2qD5pYIOwQ3bA,831,53,10,0,0
cSIWpIr5gM4,"Das JWST ist gestartet, was passiert jetzt? - Nora Lützgendorf bei #FasziAstroOnline",2022-01-11T19:10:56Z,UCrFWnqIRdCwv9F7uYW0L_Og,8120,310,40,0,0
P04AgFW0lYI,weissnich reagiert auf Pressekonferenz von Robert Habeck,2022-01-11T20:48:16Z,UC4t0KuLYBiXqXF27UtjLxPw,1648,112,67,0,0
MhXP5QM1pG8,Eröffnungsbilanz Klimaschutz,2022-01-11T23:20:20Z,UCQfBtMOs07bff6CYvSpbECw,1390,28,2,0,0
8jO7qjqHYdU,Energiebedarf: Gibt es genügend Strom für E-Autos? | Umschau | MDR,2022-01-13T14:54:04Z,UCvwE_EBBDWM552Vd9v8m9Gg,4625,47,29,0,0
n30dOYaUawY,Wie lange halten E-Auto-Akkus bei Frost? | Umschau | MDR,2022-01-13T14:48:03Z,UCvwE_EBBDWM552Vd9v8m9Gg,8216,69,81,0,0
