video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id
cNyCqCyWQOQ,Der Studiengang Elektromobilität | OVGU,2020-07-01T15:00:14Z,UCX7seJ01ntgujN3NilAUkUw,1082,22,3,0,0
4V0G9tXd41c,Tesla Verluste von Batterieladung im Stand Tagesthema Elektromobilität Nr.62,2020-07-01T15:00:01Z,UCHuXYLIv70fPKK9c60TwLQw,124,19,2,0,0
7l3fREmEiuI,Im Audi Etron von Hamburg nach Leipzig in 9 Stunden? WALTER Magazin über Elektroauto Roadtrip,2020-07-01T09:30:00Z,UCaCaZ-vKtnMG2_FKmEePChQ,5063,478,120,0,0
SeRI5PKBj3o,Refuels - Synthetische Kraftstoffe - Fachgespräch mit Thomas Hentschel,2020-07-01T09:43:40Z,UCx5-pLfZujsqv2SkQl--3lg,1882,16,31,0,0
T1V71DZoHMY,"Live-Talk mit Kurt Sigl - Jetzt muss schnell gehandelt werden, sonst geht alles den Bach runter",2020-07-01T18:41:20Z,UCszx-b-BA9VEqV4EEWXi-4w,2818,253,28,0,0
cOwoQ5JTxHM,Bloch reagiert auf Tesla Model Y Reichweitentest von nextmove - Bloch erklärt #103 |auto motor sport,2020-07-01T14:00:10Z,UCLINPbYQ9sy6qc-TqtBeVnw,211684,5571,826,0,0
6CUHChIJ84I,Cowboy V2 E-Bike Test mit @Felixba | E Bike Review – präsentiert von Yello,2020-07-01T10:00:14Z,UCWDzQTt1RWZD1AtkV76CIBA,42639,643,202,0,0
f-o2-p4YDoY,Brennstoffzelle im Auto: Was taugt der Wasserstoff-Antrieb?,2020-07-01T16:00:13Z,UCxU1a-2vec6ljU43I0F2Jwg,18670,40,12,0,0
gUZv-ZBu1wc,Mercedes EQC | DER AUTOBAHN TEST - Reichweite & Verbrauch,2020-07-01T14:30:02Z,UCDDj2GWklzZ09X7R9OtsX3Q,18955,345,43,0,0
49kwbkgrMcs,Tesla der Stadt: E-Bike vs. E-Scooter vs. E-Board!,2020-07-01T12:31:58Z,UC173FCaSv6VvqDxuoinDr3g,166416,8839,756,0,0
gFIPpyfqDr0,"Heilbronn baut vor - Mut zur Zukunft # Ihr Harry Mergel, Oberbürgermeister der Stadt Heilbronn",2020-07-01T16:14:49Z,UC56IzE_YQgID9znRiJm9EBQ,1761,37,10,0,0
L60hLi8KZbk,Der große Elektroauto-Schwindel | Bessere Zeiten – Wagenknechts Wochenschau #18,2020-07-02T20:43:06Z,UCPH3ZPeqWqRVZ_ef4vOZgSw,482332,17206,4747,0,0
hRrpXotmpfY,Tesla senkt die Preise seiner Fahrzeuge Tagesthema Elektromobilität Nr.63,2020-07-02T15:00:30Z,UCHuXYLIv70fPKK9c60TwLQw,459,39,12,0,0
S5t7N_ENXT8,Echter Ökostrom oder nur Greenwashing? | Grüner Strom-Label | Julian fragt nach,2020-07-02T18:22:52Z,UCaCaZ-vKtnMG2_FKmEePChQ,1574,106,9,0,0
i3Ovee0gi6Q,Elektroauto kostenlos aufladen mit &Charge - Elektroauto Apps,2020-07-02T19:00:11Z,UCBc0Mghy-6jhMXs3T7DluMg,11051,300,63,0,0
GXG_OuYT1W4,Mit dem Elektro Hyundai schneller von Berlin nach Stuttgart als Audi e-tron?,2020-07-02T09:30:06Z,UCaCaZ-vKtnMG2_FKmEePChQ,8625,432,127,0,0
cDWYeZpyWgo,Neuer VW e-Up! - das Thema mit dem Rapidgate & Abschied,2020-07-02T19:22:56Z,UC7uzeZzsjUvhpjX1cN4L5ig,8444,164,51,0,0
rktVVWs40Ug,E-Auto - neue Studie bezweifelt positive Klimabilanz | Rundschau | BR24,2020-07-02T15:50:33Z,UCcweJsCV2TUP_kzMX25U-oQ,3490,60,59,0,0
H-xOcgB9W-8,E.GO meldet Insolvent an! - Update + Meinung,2020-07-02T20:05:39Z,UCM9oZ0QR2jvMCLzQlzb7Ieg,2957,40,15,0,0
YBiEnox9jUs,Elektroauto Förderung durch Corona: Die Innovationsprämie leicht erklärt!,2020-07-02T10:37:49Z,UC84InEWT2ZVEwi7_aYv2ZMw,671,13,1,0,0
GTJzNiflKrs,Audi e-tron Sportback 🔋🔌Schönstes Elektro-SUV?! Review | Test | Exterieur | Interieur | Coupé 2020,2020-07-02T13:05:16Z,UCy9Y4en2y1eR1zwcmFkRMzg,12208,143,73,0,0
