video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id
hgnf_QKsKaM,Ist der Akku Tausch bei E Fahrzeugen sinnvoll Tagesthema Elektromobilität Nr.378,2021-06-01T15:00:17Z,UCHuXYLIv70fPKK9c60TwLQw,124,15,2,0,0
i9JLZ3FBuzc,Rundgang Tesla Supercharger Erftstadt! So geht Elektromobilität 26 Ladepunkte a 250 kW (01.06.2021),2021-06-01T21:58:25Z,UCnO3VZ_KQpBcUq6h5oJ1b6A,267,13,10,0,0
-cYrpmvTChQ,E-Auto mit Solarantrieb: Fortbewegungsmittel der Zukunft? | Quarks,2021-06-01T14:30:00Z,UC1Y7onDsPyfP-lu--SXF-ew,26249,1141,151,0,0
mCcP0StB5-g,⚡ 153 Tage elektrisch unterwegs. Für wen lohnen sich die EnBW Vielfahrertarife,2021-06-01T14:00:25Z,UCMZbix9CwEuL6l9SJIb2Zxw,682,69,43,0,0
JUKiadhub48,Deutschlands wichtigstes Elektroauto: VW ID.3 mit 150 kW und 58-kWh-Akku,2021-06-01T12:18:58Z,UCYiooWimX9SVG3ZhjbhaZkg,10063,59,15,0,0
R3qrLduLj4I,Der neue Dacia Spring Überblick: das günstigste Elektroauto - 100% elektrisch | Video auf Deutsch,2021-06-01T10:46:51Z,UCCPwaMFN8bpGu38zygQL5MQ,5440,59,9,0,0
fwTVeC0bPcM,CUPRA Born | Seat macht den VW ID.3 zum GTI,2021-06-01T15:15:23Z,UCDDj2GWklzZ09X7R9OtsX3Q,9539,286,34,0,0
cSYLjP2uyV0,"Renault ZOE Stage 1E Leistungssteigerung, Softwareoptimierung, Drehmoment 280NM, Tuning E Fahrzeuge",2021-06-01T09:24:09Z,UCInXlbYmCkRVGbaDkW7bVGg,3438,63,24,0,0
jGs__LV-vJI,"Kommentar zu Mainpost: Elektroautos in Kitzingen: Ist das ""Raubbau an der Natur""?",2021-06-01T18:02:44Z,UCI84lWkAPmER4Pzcm_c-seg,153,19,5,0,0
U3Rx7hqd93k,"Hybrid-Kleinwagen - Renault Clio, Toyota Yaris und Honda Jazz im Vergleich | ÖAMTC auto touring",2021-06-01T08:40:47Z,UCNt-1WNm7WXgLNKN4LVolTQ,83368,60,9,0,0
EiDsZ8Pwx5s,Warum Plug-in-Hybridfahrzeuge Schwachsinn sind.,2021-06-01T16:00:11Z,UC7gqKyCHYENWESm3mGcJO5A,40076,1507,792,0,0
M2_Sn_hi1X8,Daniel Priem - Wie Daten helfen Städte smart und Mobilität zukunftsfähig zu machen.,2021-06-01T08:46:35Z,UCXWEQ9qr44aLX8dR-LApWIQ,37,1,1,0,0
xj_CgQzdtWg,"6 Fehler, die die Elektromobilität definitiv NICHT machen sollte! - Bloch erklärt #145 | ams",2021-06-02T14:00:21Z,UCLINPbYQ9sy6qc-TqtBeVnw,235523,9671,2595,0,0
eHnJ7EyffzM,Bundesheer setzt in Zukunft auf Elektromobilität,2021-06-02T08:20:56Z,UCyQpfuhftLvrmjxgEzVH78Q,718,3,39,0,0
rn2RHFiphIc,LS19 Ebsdorfer Heide #119 - Elektromobilität und ihre Herausforderungen,2021-06-02T16:00:23Z,UC1l7ozA6H0DZACPYCszmU0Q,618,77,4,0,0
3J5ZsWx-XVY,E Motorrad Zaiser mit 482KM Reichweite? Live wire und ZERO Tagesthema Elektromobilität Nr.379,2021-06-02T15:00:02Z,UCHuXYLIv70fPKK9c60TwLQw,165,12,4,0,0
aYbinqx0PTE,Bester Ladepark östlich von Hilden | Was dahinter steckt | Grüne Säule macht vor wie es geht,2021-06-02T12:27:03Z,UCaCaZ-vKtnMG2_FKmEePChQ,13223,1111,111,0,0
VOICErOhxDU,Hot oder Schrott? | Haben China Elektroautos eine Chance? – präsentiert von Yello,2021-06-02T15:00:22Z,UCWDzQTt1RWZD1AtkV76CIBA,2733,173,44,0,0
77KKYWtP7QM,"eMobility update: BMW i4 und BMW iX ab November, VW: Batterie-Börsengang, Tesla Grünheide, Porsche",2021-06-02T10:00:35Z,UC_vO01sSD25a73DhoaxtZTw,6938,417,21,0,0
tI9MafxwE1g,Der E-Wolf #804 - Bamberg baut Ladeinfrastruktur in Parkhäusern und Tiefgaragen aus,2021-06-02T04:30:06Z,UCUh8zvuZWNoIur4Cv-3fUzw,156,28,2,0,0
0hUIQmKNVIM,MG ZS EV Langstreckentest - 200KM auf der Autobahn non-stop?,2021-06-02T15:00:00Z,UCaTyFx9Llt5nQRAFjZyowow,4058,107,17,0,0
I43wydhwcDM,⚡ 154 Tage elektrisch unterwegs. Lade-Verkehrszeichen sind eindeutig mehrdeutig,2021-06-02T14:00:07Z,UCMZbix9CwEuL6l9SJIb2Zxw,727,70,28,0,0
TphhcyqaKa8,Man hat das Spass gemacht! E-Cannonball 2020 Teilnehmer berichten.,2021-06-02T17:30:01Z,UCqtBzOjVW0aLVZHaRYu7dpQ,4277,228,15,0,0
