video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id
JIoZrRTfShU,"Alles rund um Elektromobilität | E-Autos, E-Bikes, E-Roller & mehr – präsentiert von Yello",2021-03-01T10:42:23Z,UCWDzQTt1RWZD1AtkV76CIBA,35400,110,14,0,0
dGkGi1Ttnec,"""Ladeetikette"" - worauf wir beim Laden achten sollten ...",2021-03-01T08:30:02Z,UCuPH6ouleIo8IhmZy65m4pA,4718,173,55,0,0
747TOU0wayU,Volvo XC40 Recharge P8 AWD | Elektro-SUV mit richtig viel Kraft und herausragendem Fahrgefühl,2021-03-01T16:52:03Z,UCDDj2GWklzZ09X7R9OtsX3Q,6214,317,40,0,0
_BThlz70ko8,"eMobility update: Formel-E-Auftakt, Wallbox-Förderung, Tesla-Pause, Efacec-Ladestationen.",2021-03-01T11:01:06Z,UC_vO01sSD25a73DhoaxtZTw,1933,201,10,0,0
1slW4eqMoT8,Update 1 zum Batterietausch beim Hyundai Kona EV - #endlichmontag [Deutsch 4K] | Vision E Drive #77,2021-03-01T17:00:03Z,UCDMd4FzBxxKD5yAeeLStU6A,4587,220,51,0,0
g6acFhC02Fg,"#PeakOil - Shell, BP und co. produzieren weniger Öl",2021-03-01T10:58:31Z,UCzwu6Bp5ttIMF7d4-JVv88A,492,26,1,0,0
-QSFpj_-LAk,Vorsicht Abzocke: Betrug beim Elektroauto Kauf mit VW ID.3 & Co.,2021-03-02T15:00:00Z,UCgmB8S3f8-9dR8alVUZuZxQ,134204,6758,731,0,0
S8rPJKnZvdw,"Französische Autobauer, ZOE ist nicht mehr bestverkauftes E Auto Tagesthema Elektromobilität Nr.301",2021-03-02T16:00:22Z,UCHuXYLIv70fPKK9c60TwLQw,327,19,6,0,0
9WfMKQepxe8,CO2 armes laden | Immer gleicher Strommix im E-Auto? | Experiment mit Grenzen,2021-03-02T14:45:24Z,UCaCaZ-vKtnMG2_FKmEePChQ,2791,275,67,0,0
KiOXohaTs6U,"AMA: Strom vs. Sprit – Vor- und Nachteile von Elektro, Verbrenner und Hybrid | heise+ live",2021-03-02T17:20:23Z,UCAszOEwa5CS4WFwYpkjdaUQ,2755,102,22,0,0
aW4XL6KNjK8,Wie weit ist die Reichweite des Mustang Mach-E mit einen vollen Tank,2021-03-02T07:26:03Z,UCDWUSX9R-3Ax5FltuJKli5w,63,0,3,0,0
