video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id
vIBc5yVUOqI,Tesla Supercharger ab heute offen für alle Elektroautos - Niederlande startet Probebetrieb,2021-11-01T16:30:05Z,UCd5Jpd5473VPhNjdWMUP6tw,17896,1433,270,0,0
WywQeRmFGTY,TESLA Supercharger für alle: Es geht los! +++ Lithium-Vertrag,2021-11-01T16:00:15Z,UCpPbcfwq0wOpWrC0gBs73tQ,23301,1115,193,0,0
s2txunrkr8M,Klimakrise – Zeit zu kapitulieren? | Harald Lesch,2021-11-01T13:00:23Z,UC5E9-r42JlymhLPnDv2wHuA,406703,18148,4425,0,0
kvkMQ309PF0,"eMobility update: Tesla-Supercharger für Fremdmarken, Amazon hält 20% an Rivian, Elektro-Feuerwehren",2021-11-02T11:00:11Z,UC_vO01sSD25a73DhoaxtZTw,6390,465,9,0,0
42UmRbv9w8o,Allrad-Elektro-SUV? Muss das? Kann man auf jeden Fall machen: 2021 Skoda Enyaq iV 80X,2021-11-02T19:05:48Z,UCsLOtn32074H9Qxy7gjr2LQ,7029,200,27,0,0
239pg3lk3W4,Audi A8 Facelift (2021) | Das letzte Facelift | Sitzprobe mit Dennis Petermann,2021-11-02T07:00:01Z,UCJrXOOtvmGn4CF7aYaJwuHA,126085,2058,379,0,0
cpqlnxXBw-M,Tesla öffnet Supercharger Ladenetz für alle Elektroautos mit CCS Ladeanschluss Electric Drive News,2021-11-02T10:25:05Z,UCxmohYAjhc2qD5pYIOwQ3bA,4431,151,13,0,0
6mUcMO5QpkM,2022 Toyota bZ4X - was kann 🔋 Toyota`s erstes batterieelektrisches Fahrzeug❓❗️ | einfach elektrisch,2021-11-02T15:07:23Z,UCuPH6ouleIo8IhmZy65m4pA,8946,168,41,0,0
37cp7mVLnL4,Akku-Upgrade Tesla Model 3 offiziell +++ Zweite Fabrik in China?,2021-11-02T16:00:02Z,UCpPbcfwq0wOpWrC0gBs73tQ,15182,1007,93,0,0
1QnGBxcL1Vw,Die Ladesäule MUSS funktionieren - elvah bewertet Ladestationen in Echtzeit,2021-11-02T16:00:01Z,UCBc0Mghy-6jhMXs3T7DluMg,8490,404,90,0,0
