video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id
63Suk7z3b_4,Elektromobilität – Schlüssel zur Verkehrswende?,2020-10-01T09:04:38Z,UCOjGY6t0Y4-wXYBrVsZSqLA,289,5,2,0,0
ParrTA-fXIA,Verbrenner vor dem Aus? - Die Krise der deutschen Autoindustrie,2020-10-01T12:33:37Z,UCeqKIgPQfNInOswGRWt48kQ,116180,1024,1083,0,0
W8Vqt-3P9M4,Audi e-tron Ausstattung per OTA kaufen - Functions on Demand (FoD),2020-10-01T06:00:02Z,UCXzAdSkGFtjrbuucfC-t7gA,3719,242,101,0,0
C-A45UTBvpY,"Breaking Elektro-News: Kretschmann zweifelt an E-Autos, Premiere Ford Mustang Mach-E GT, E-Feuerwehr",2020-10-01T05:00:03Z,UCsNdsFTTBj5jcRJSWeJ8-Xg,5489,488,128,0,0
TpY5EUppYyU,Was ist eigentlich... MONO und POLYKRISTALLINE Solarmodule? - Photovoltaik - Klein-Serie #5,2020-10-01T18:29:27Z,UCaCaZ-vKtnMG2_FKmEePChQ,2371,130,12,0,0
SK-sB4A2XBY,Technik aufs Ohr: Folge 24 Aktive und passive Sicherheitssysteme in Autos | PODCAST,2020-10-01T07:00:04Z,UCwJahEzu0jaSa3gk7Zgf2lg,278,5,1,0,0
lM1vCflKafE,Börsentalk Spezial: Gewinnchancen durch Wasserstoff-Technologie | Swissquote,2020-10-01T16:00:10Z,UC9cpFiBdx-sFVtdDRJXzbOA,1169,31,6,0,0
oVciE_ceMlE,"Neue Hyundai Kona 2020 !  - fährt er weiter der Konkurrenz VW ID4, Opel Mokka e & Kia e Niro voraus?",2020-10-01T06:30:04Z,UCuPH6ouleIo8IhmZy65m4pA,13871,217,52,0,0
XagOdO7Th6k,Erste Verbote von Benzin und Dieselautos Tagesthema Elektromobilität Nr.155,2020-10-02T15:00:30Z,UCHuXYLIv70fPKK9c60TwLQw,255,28,2,0,0
EgHS3oovNzs,Preiswahnsinn bei Schweizer Ladeanbietern! - Der grosse Vergleich [Deutsch] | Vision E Drive #28,2020-10-02T16:00:03Z,UCDMd4FzBxxKD5yAeeLStU6A,4282,275,70,0,0
o1uCGpbylPo,"SUPER SOCO CPX ⚡ Bester E-Roller am Markt? ⚡ Unboxing, Test, Anleitung, E-Roller, E-Motorrad (DEU)",2020-10-02T18:30:11Z,UC3yeO-6AM65HYwLMN0ST7ZQ,27597,486,41,0,0
ts_FV6cSje4,Folge 09: Ladepark Nordhausen - Heimliche Eröffnung? Das Laden ist zumindest gratis!,2020-10-02T18:10:19Z,UCLo0MMeuiYBeOWZ9iv6XEqQ,865,28,20,0,0
fK8eTj2JVAk,144 Ladepunkte bei Peugeot & Citroën - Wallbe erklärt was alles dazugehört,2020-10-02T16:30:05Z,UCaCaZ-vKtnMG2_FKmEePChQ,2490,189,29,0,0
biMlmQeyi_Y,Lithium und Kobalt Abbau für unsere Elektroautos - Problem oder Chance?,2020-10-02T15:38:56Z,UC-k-5F2j4CUzuwkx1QLRlpA,2060,138,33,0,0
AMLNFNIw39U,Tesla Model 3 – Minimalistisch durchstarten (Review),2020-10-02T06:00:01Z,UCP0sOZXdgOKMX3d_RBjsxNg,878,25,11,0,0
57gGBeGYmX8,Meine FINALE VW ID.3 Konfiguration und die BUBI-Vergleichsliste (Bubi Check),2020-10-02T08:30:00Z,UCHeWtVw_wNCUZkzc5wif2FQ,3879,120,49,0,0
D-T2Jnu5Gk8,Interview mit Klimaschutz-Experte Prof. Dr. Volker Quaschning,2020-10-02T11:43:47Z,UCTVrhBYkNalHxAJuN_B1roA,768,35,5,0,0
dNroMdEi4lY,US-Wahl 2020: Diese Aktien profitieren vom Duell Trump gegen Biden [Präsidentschaftswahl in den USA],2020-10-02T06:30:26Z,UCxD5ug_M184KrXgPj9v7qeA,9227,152,9,0,0
62BWCF0Z1WQ,Elektromobilität - Revolution der Automobilindustrie von Lars Thomsen,2020-10-03T16:26:45Z,UCnPA-aa-ymG8jY4yrivz_GA,5561,147,44,0,0
HMlAAnH4R_Q,Der neue E-Mobilität Pop-Up-Store in Wien - MOONCITY Vienna,2020-10-03T15:00:04Z,UC2xJQ4GUV9zVrAaYinVmpdQ,925,19,2,0,0
XC_WheONfgw,Solaranlagen für bestehende Gebäude (Vortrag von Georges Schaer) [Schweizerdeutsch],2020-10-03T15:12:26Z,UCNeBWn4J2jco5GbRo5Wd27A,1810,28,3,0,0
aQb3VaVD1z4,#2minutenfürmich Erntedank,2020-10-03T11:08:34Z,UCst-j8pfGrcEiLBGSwKUgiQ,400,7,1,0,0
sGlNpvcdsVs,#035 Tesla Europa Roadtrip 2020 - EinBlick ins Paradies,2020-10-03T14:48:17Z,UC_aOreefEh0YC7y5gZToRhw,1071,81,10,0,0
eGrcsmOu9Qc,Folge 10: Besuch beim 2. Mitteldeutschen Tag der Elektromobilität - Eindrücke und Gedanken,2020-10-04T08:00:48Z,UCLo0MMeuiYBeOWZ9iv6XEqQ,155,15,4,0,0
gOxev_BWMuA,Peugeot Ion Fahrt zum E-Stammtisch OWL VW Tesla Zoe,2020-10-04T07:00:05Z,UCogPyel5zmcX7dRP88vY9lA,843,32,12,0,0
ePlJEAX1HhI,Tesla Neuigkeiten vom 04.10.2020 Tagesthema Elektromobilität Nr.157,2020-10-04T15:00:09Z,UCHuXYLIv70fPKK9c60TwLQw,402,32,3,0,0
