video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id
s7IeRo_j7zQ,STAT E-STICS #38 | Elektro-SUV für 7.900€,2021-10-01T15:24:33Z,UCDDj2GWklzZ09X7R9OtsX3Q,12270,587,35,0,0
fUw0UZuHx4c,VW iD.4 oder Volvo XC 40? Vergleich der Mittelklasse Elektro SUV,2021-10-01T15:08:30Z,UCaTyFx9Llt5nQRAFjZyowow,17925,330,49,0,0
1At9mo1FgBI,Praktisches Zubehör für mein Tesla Model 3 Refresh 2021,2021-10-01T15:32:20Z,UCua87-Wr29nGhVLzZrN2e_g,5480,223,33,0,0
tgoKDj8mtgY,Mobilität der Zukunft I auto motor und sport Kongress 7. Oktober 2021,2021-10-01T14:00:34Z,UCLINPbYQ9sy6qc-TqtBeVnw,6310,121,17,0,0
YGQli7PLjwg,⚡ Tagebucheintrag #177 Fehlermeldung vom passiven Reifendrucksystem erfolgreich behoben (Anfänger),2021-10-01T14:00:30Z,UCMZbix9CwEuL6l9SJIb2Zxw,543,55,13,0,0
aLLGgVD7kiY,Rüdiger Hoffmann gibt Vollgas im E-Auto | SWR Spätschicht,2021-10-01T19:00:00Z,UCUIsXmEA5oPRwK8VppFmrIg,296981,3828,702,0,0
AfZuc5l7Ino,Wallbox für Mieter | 6 einfache Schritte zur eigenen E-Ladestation – präsentiert von Yello,2021-10-01T15:00:01Z,UCWDzQTt1RWZD1AtkV76CIBA,4014,156,16,0,0
A0o1EhQe0Yg,"eMobility update: Giga Berlin vor Genehmigung, Genesis GV60, Arrival Transporter, Solaris Midibus.",2021-10-01T10:00:11Z,UC_vO01sSD25a73DhoaxtZTw,5979,459,9,0,0
HksO6zZOu50,Deine Photovoltaik #16 - Nicht nur das Dach ist voll - 7 Jahre E-Tankstelle: Jetzt auch VW ID.4,2021-10-01T17:30:13Z,UC-k-5F2j4CUzuwkx1QLRlpA,8969,448,45,0,0
ADNjSEgKL2k,TESLA-Zahlen China – große Überraschung? Giga Berlin Genehmigung & Model Y Reichweite erhöht,2021-10-01T15:00:06Z,UCpPbcfwq0wOpWrC0gBs73tQ,11269,620,33,0,0
ShPv9eQ3nOY,Ich war mit BMW auf der IAA! VLOG,2021-10-01T15:23:43Z,UC5LJVHQdB_WyTYMEbuFo-_w,29082,2312,58,0,0
-_FQH9mwedM,7 Aktien unter 7 Mrd. Börsenwert!! Small Caps Feedback | Alfen | Mister Spex | Sto | Thor,2021-10-01T15:59:43Z,UCW8uQL-FxJkS1NxdT9WlV8w,20160,465,57,0,0
nBy9T-dQF3M,Mein Strompreis explodiert gerade!,2021-10-02T20:00:08Z,UCua87-Wr29nGhVLzZrN2e_g,5526,314,157,0,0
Ri1plPmRoYg,"TESLA 4680 neuer Meilenstein erreicht!, VW fürchtet Tesla!",2021-10-02T15:00:09Z,UCpPbcfwq0wOpWrC0gBs73tQ,24624,1050,61,0,0
m27_RcroYjs,"Cupra Urbanrebel kommt, VW ID Life wird ID.2, Lucid Air geht in Serie, Polestar 4, Spritmangel in UK",2021-10-02T06:00:23Z,UCBc0Mghy-6jhMXs3T7DluMg,14454,830,114,0,0
B3cfaaZzY6k,Mercedes GLA180 Verbrenner⛽️ verkauft -  nun holen wir unser Neues 🔋Elektroauto vom Tegernsee ab❗️,2021-10-02T06:01:36Z,UCuPH6ouleIo8IhmZy65m4pA,3107,175,37,0,0
IXCk_GV8GCs,Hyundai Ioniq 5 vs. VW ID.4 GTX (2021) | Der Vergleich am Deich mit Dennis Petermann,2021-10-02T16:00:09Z,UCJrXOOtvmGn4CF7aYaJwuHA,124719,1396,676,0,0
gVg6K34t_wo,eMOTION #18 checkt HPC-Innovationen aus der Schweiz am Ladepark Würenlos,2021-10-02T10:00:15Z,UC_vO01sSD25a73DhoaxtZTw,4267,201,37,0,0
0IEYDX_voyI,Alle reden darüber - aber WIE FUNKTIONIERT ein Elektroauto? | E-Mobilität #1,2021-10-03T07:00:25Z,UCyFX1F6hpkyXeEbLFURd8PA,6600,191,39,0,0
m8F9GJbZUgc,"Deutschlandnetz, THG-Quote, Tempolimit & Gedanken | Kritik an Elektromobilität in Deutschland",2021-10-03T17:51:57Z,UCaCaZ-vKtnMG2_FKmEePChQ,4295,330,98,0,0
Pgy814gWeHg,Ist das der Zustand der E-Mobilität? Hier lade ich NIE wieder... (TAYCAN'T CHARGE 2),2021-10-03T14:00:21Z,UC7gqKyCHYENWESm3mGcJO5A,51447,1957,530,0,0
6KI_S1TdtvA,TESLA vs Ionity die Tricks um Tesla Fahrer zu gewinnen & Schattenseiten von Abos!,2021-10-03T12:00:03Z,UCpPbcfwq0wOpWrC0gBs73tQ,8229,574,93,0,0
GD7LyAwHtWo,Model Y: Aero Optimierung am Model Y! Premiere: Wir fahren das Fahrwerk KWv3 & Turbine 20z für Euch!,2021-10-03T10:30:29Z,UCasePAQ_q7tbUGybICCj4NQ,9974,486,89,0,0
