video_id,title,published_at,channel_id,view_count,like_count,comment_count,job,id
rpFKN1voIZw,E-Auto - Was kommt an Unterhaltskosten hinzu? | Ausgerechnet | WDR,2021-09-01T18:00:33Z,UCn7wWR5KnpX_N6ZaBNuyVYw,439986,3443,2173,0,0
eeOr49Swu3U,Vollwertiges E-Auto oder doch nur Verbrenner-Verschnitt? - Der Volvo XC40 im Praxistest,2021-09-01T16:00:16Z,UCgmB8S3f8-9dR8alVUZuZxQ,28093,1304,146,0,0
SGPygW8f6QU,Tesla Model Y mein erster Eindruck,2021-09-01T15:00:30Z,UCua87-Wr29nGhVLzZrN2e_g,6959,311,32,0,0
8jaGxOqu3fM,"eMobility update: Reichweiten-Rekord mit Elektro-Lkw, Lotus plant 4 Stromer, Förderpause in Schweden",2021-09-01T10:00:12Z,UC_vO01sSD25a73DhoaxtZTw,7612,426,47,0,0
ld34oBwCcHc,Tesla Hebamme verzweifelt 😩 Peinlicher Service Center Fehler 😡,2021-09-01T13:09:29Z,UChjA0Vy8gClgOU9W1ttvt8w,44269,2698,180,0,0
oiO8Prt5Rrs,Tesla MODEL Y - FAZIT nach 1.000 km MODEL Y - Vergleich zum M3LR... und Bio-Weapons-Defence Mode,2021-09-01T16:23:26Z,UCasePAQ_q7tbUGybICCj4NQ,9152,628,56,0,0
CApGmikXGrM,Steuerberaterprüfung 2021 | Das sagen die Kursanbieter,2021-09-01T16:30:03Z,UCCwCa-faBqcY-zJ4PS1lCHA,2279,43,7,0,0
gLG5aTbHP1o,Fette E-Tankstellen: Endlich Ende des Elektroauto Leides in Sicht?,2021-09-02T06:00:10Z,UCiZnK4X73okItJqaCs2YDOQ,103019,6221,972,0,0
C9CXxNxfyG8,"eMobility update: Opel Astra wird elektrisch, VW ID.3 und ID.4 im Abo, Mercedes AMG Plug-in-Hybrid",2021-09-02T10:00:12Z,UC_vO01sSD25a73DhoaxtZTw,6181,378,25,0,0
cVrsFitECT0,Model Y SR 49.990€? / Model 3 & Y in Indien zugelassen / Model 3 Unfall Florida / FSD-Verkauf  11%,2021-09-02T11:16:47Z,UCP1ZmU7-oVi8dMhbCEbAD3Q,5265,494,76,0,0
Xdlm5lx8zxA,MODEL Y - Computer auf Rädern...Over-The-Air Updates lässt die anderen OEMs.... Vers2021.24.14 hier!,2021-09-02T16:00:10Z,UCasePAQ_q7tbUGybICCj4NQ,5967,654,109,0,0
