,users,follower_count
0,ReinerKurzmann,114.0
1,na_presseportal,6640.0
2,SmartHomeEU1,974.0
3,EPhisoloph,11.0
4,Amie42,600.0
5,verkehrswendeb2,95.0
6,PTNisWarCrmnl,193.0
7,rouTfuAeiropA,157.0
8,GruenUrsula,1289.0
9,Elbeelfe,301.0
10,OxKing,711.0
11,FamagustaG,34.0
12,Baeumleschule,365.0
13,EggMarkus,835.0
14,abbdeutschland,7052.0
15,energie_rlp,1630.0
16,ReegerLothar,0.0
17,skippertom3,1.0
18,manuel01St,27.0
19,RenatoRavioli,7.0
20,joschtl,330.0
21,Redaktion_GEB,1470.0
22,christianknol13,14.0
23,mikenolte_de,1139.0
24,franke_karsten,53.0
25,Acostard,43.0
26,martin_kraft,629.0
27,SaschaPPP,8.0
28,TKornetto,4.0
29,designmobility,1878.0
30,bmzimmermann,2394.0
31,Andreas88730797,1.0
32,ChPeter_AT,220.0
33,troy_mc_clure,103.0
34,TorstenGajda,1200.0
35,fancyPT,29.0
36,DanielaKeusen,54.0
37,TTinaani,59.0
38,DeTottel,680.0
39,marzlberger,17.0
40,SimonTschannett,1724.0
41,MScHome,355.0
42,cruzii1337,11.0
43,consolinno,51.0
44,Mingiam10,1056.0
45,USchwart,343.0
46,xberg_edge,571.0
47,Zeitwort_,52.0
48,DerDienstreiser,69.0
49,slaue,14.0
50,ropietsch,3534.0
51,benjiButo,101.0
52,qualityofdeath,1058.0
53,mamuente,238.0
54,RaddatzWWF,1541.0
55,stang2k,6338.0
56,ElectriveNet,9713.0
57,elektrologisch,310.0
58,Alexand59722739,214.0
59,DominicMuenster,74.0
60,Klarname_LLL,9.0
61,FreakeyDE,14.0
62,bremerhaven_de,3662.0
63,FreieWeltEu,690.0
64,Giefers,501.0
65,CanniST448,11.0
66,FrauDoktorX,650.0
67,derjebby,38.0
68,mainpcerlenbach,646.0
69,BaumbergOwl,1881.0
70,Stolen42,46.0
71,Rufus_CDR,1094.0
72,clrleopold,9.0
73,tobiasanton,5.0
74,gulliver_77,215.0
75,we_drive_at,1035.0
76,KDoofen,87.0
77,TruckerMagazin,435.0
78,dozykraut,561.0
79,andee_0711,1192.0
80,EvilLauge,1553.0
81,HerrPfarrerin,1553.0
82,StadtwerkeKiel,1672.0
83,mackel_eu,22.0
84,JobsBrandenburg,450.0
85,die20er_innen,967.0
86,Raupe3,390.0
87,SPOE_Diesel,3399.0
88,geekodernerd,1077.0
89,robbie_da1,50.0
90,phantomthk,526.0
91,bierino,958.0
92,frank_reddy,4.0
93,Taunus_Larry,50.0
94,LudkeThomas,152.0
95,cyclinghanover,323.0
96,bikezebub,271.0
97,eejobs_de,709.0
98,IngoHeinscher,235.0
99,bring_auf_die,59.0
100,giesion,95.0
101,AlexStuckHolz,365.0
102,hartezeit,3.0
103,BHNNKMP,645.0
104,sofarevoluzzer,18.0
105,VengeanceDE,39.0
106,2lievres,133.0
107,friemel_backe,929.0
108,Brummelbr1,172.0
109,TanteJu5,688.0
110,ohoerl,3187.0
111,toberg2,833.0
112,_Logistra_,2931.0
113,vr_online,5150.0
114,Papabasti85,160.0
115,EinRobert1,749.0
116,0xdeef,69.0
117,schundiels,456.0
118,MoranagaAkio,45.0
119,ehwurschd,476.0
120,jwag82,81.0
121,StiMaPla,826.0
122,eautonews,5320.0
123,kkklawitter,39831.0
124,KielerYung,2.0
125,AndyAmmerland,174.0
126,doktorhulk,2426.0
127,DrehnowF,62.0
128,auto_swiss,1039.0
129,ingo_werner,40.0
130,Cleanthinking,7630.0
131,b2charge,166.0
132,a_eigel,165.0
133,pingponguin,154.0
134,Juergen_Kaiser,1330.0
135,ChristophHorst3,252.0
136,normschumann,574.0
137,efoolution,178.0
138,AZHamburg,129.0
139,cl1505,7.0
140,SpacesShuttle,
141,schoenix,101.0
142,Zahn_des_Loewen,208.0
143,IvokainKrieg,1293.0
144,wunderlicher,789.0
145,U_K_Chris,22.0
146,Goldregen7,23.0
147,SoerenLorensen,2692.0
148,wolfheilmann,1544.0
149,peroneus,5.0
150,alwayssimifuzi,251.0
151,ZoeUpgraded,147.0
152,MKrassowsky,57.0
153,ThorstenRinne,1049.0
154,TC_Roszak,185.0
155,shortymatic,4422.0
156,mobiFlip,12714.0
157,JohnnyMaxw311,186.0
158,radiermann,974.0
159,unsinn_s21,36.0
160,chriflu1,71.0
161,Rabbit__Junk,0.0
162,AHornheim,269.0
163,TomHS10,22.0
164,klimaschutzyeah,638.0
165,Der_Kolja_,5.0
166,SSL_SM,166.0
167,mux_tux,18.0
168,Iceskiff_Limeoh,154.0
169,Hamburg397,1786.0
170,alife_meat,39.0
171,KritishBurzhaar,77.0
172,BBleiben,31.0
173,stadtkindd,738.0
174,TF1337,2.0
175,BurdackRene,0.0
176,Michel_aus_Joeh,11.0
177,SZLZ1,676.0
178,Wi_sait_us,621.0
179,KaiRuhsert,66.0
180,HellaJohn1,422.0
181,marcspecht,266.0
182,everdichter,1064.0
183,tsePrD,149.0
184,IburgMetal,23.0
185,zolar_de,540.0
186,larswichert,1017.0
187,DEUTSCHeinsTV,1.0
188,RTF3Radio,167.0
189,RTF1,1333.0
190,derwahremawa,1500.0
191,LibertyGecko20,2674.0
192,happel,1274.0
193,DerVeloc1ty,139.0
194,redfox1,206.0
195,Nord_Mann,47.0
196,BahnkundenV,1334.0
197,gnutiez,2281.0
198,RobbiKoenig,527.0
199,PSchnei26364427,2639.0
200,SchwarzerKorsar,191.0
201,eurosecurity,1787.0
202,Berlin_Ticker,18045.0
203,greenpeaceWEN,196.0
204,DasBoes,680.0
205,gymboigoassmass,1316.0
206,twittlik,2307.0
207,Disfosgen,5371.0
208,BVESeV,1276.0
209,e_mobility,2227.0
210,der_Stephanist,52.0
211,WolfChristian10,0.0
212,GrueneSeelze,52.0
213,photovoltaik,4419.0
214,eMobOnline,4392.0
215,Rziepen,137.0
216,_stk,2958.0
217,bue500,23.0
218,MoneVonBerg,2106.0
219,p_humm,4266.0
220,schweizok2,10398.0
221,Makeimer,165.0
222,fairzinsung,332.0
223,0EmissionCar,590.0
224,news_nowgmbh,1861.0
225,TZ167,225.0
226,Tagesspiegel,482062.0
227,johnturnersn,61.0
228,PeterSchwarz11,370.0
229,rbbabendschau,112191.0
230,M4rcu22,81.0
231,Furzschnorchel,0.0
232,morgenpost,292608.0
233,SurveyCircle,1241.0
234,Midnight1887,1.0
235,HerbieConnected,246.0
236,Wotans_Runen,12.0
237,Nussjackl,175.0
238,Barffm2,2.0
239,mastafotygo,69.0
240,mopo,232070.0
241,AikProtech,162.0
242,kryptoschland,587.0
243,digitalmediaCH,693.0
244,CityReport,2253.0
245,bzberlin,149262.0
246,top_studies,273.0
247,BHerrmann_,1501.0
248,TenebrisObortis,364.0
249,KoraMerle,71.0
250,_markkoenig,261.0
251,Kiefernfee,141.0
252,gemuesesuppe78,8402.0
253,energiefahrer,1.0
254,JoergRodenwaldt,586.0
255,24hamburg_de,292.0
256,BlackAlien,252.0
257,haebae,52.0
258,e_handwerke_sh,60.0
259,Rechtsuniversum,4836.0
260,JanazJoseph,505.0
261,emobicon,309.0
262,razerrath,331.0
263,mp4rthesius,212.0
264,Franz_Metzger1,449.0
265,_mobility_,1272.0
266,flomuegoe,6.0
267,UKlupfel,66.0
268,DagmarHufnagel,459.0
269,academics_de,2752.0
270,scr00ge1,15.0
271,DeTo7200,0.0
272,Hubertusleben,121.0
273,Heini88207678,9.0
274,th_g,1062.0
275,MeinWadersloh,156.0
276,F_Reil,235.0
277,Jrgen70858433,1252.0
278,pdfkungfoo,536.0
279,der_sedaka,59.0
280,DavidDuhme,439.0
281,snoopsmaus,8036.0
282,golem,87906.0
283,dblenich,311.0
284,VISIONmobility1,749.0
285,pvmagazine_de,4691.0
286,tv_mittelrhein,1134.0
287,XxChrizzleyxX,674.0
288,KfW_Research,1638.0
289,Fatalys,29.0
290,Spritplus,481.0
291,ITSGermany,200.0
292,OpenEMS_EN,71.0
293,GillyBerlin,11246.0
294,heiseautos,7806.0
295,HerrFuxx,3.0
296,weserkurier,59955.0
297,3E_Ticker,1086.0
298,stadtradio_goe,2857.0
299,News__Poster,1889.0
300,pp_automobil,2273.0
301,shz_de,19261.0
302,maschaper,91.0
303,ichbinschoener,4593.0
304,biwa59,256.0
305,ecomento_de,5511.0
306,ChrisTechloupe,1927.0
307,KlausHesse1,40.0
308,gjarsen,38.0
309,abendblatt,121664.0
310,JogiBr20892265,2.0
311,Volt_Christoph,64.0
312,DomTHell,824.0
313,ulfilas72,46.0
314,MrGrandMr,11.0
315,WolfgangRausch,128.0
316,ClaasBansemer,138.0
317,simonimous,1619.0
318,bitboy0,390.0
319,Brainstorm404,76.0
320,asg_news,607.0
321,Dr_Fisheye,820.0
322,kuschelkirche,3359.0
323,henning_soel,402.0
324,SPDSH,8137.0
325,rolanddor,604.0
326,hugezwerg,26.0
327,markusdd5,4270.0
328,ErnstvAll,5513.0
329,gofast_swiss,512.0
330,RimkusAndre,2.0
331,SWM_Muenchen,14867.0
332,daily_research,1139.0
333,energate_news,5077.0
334,VerkehrNRW,6630.0
335,patrislav,336.0
336,Unghvary,670.0
337,Mayer0077,27.0
338,Shell_Germany,4958.0
339,MarkusMeissner1,28.0
340,Sonderabfallwi1,32.0
341,ch_emobil,14.0
342,42oderwas,237.0
343,chelseafmodel,143.0
344,filmfacts,756.0
345,turbotommi,1088.0
346,zeitung_energie,9145.0
347,fettiz,55.0
348,SynRRg,750.0
349,BUS_2_BUS,654.0
350,J_DuerrPucher,307.0
351,DocPfoe,1780.0
352,K1ngdaKa88,361.0
353,Nokius,520.0
354,metall_ig,2278.0
355,hstubner,3898.0
356,DannyHillborou1,529.0
357,Tasso2000,9523.0
358,mg33,9.0
359,Enigma67231918,90.0
360,SZ_Erding,719.0
361,123_INFO_DE,85.0
362,uransoft,507.0
363,DerKasinator,217.0
364,StefanHeimlich,712.0
365,herr_geheimrat,168.0
366,RNaubereit,121.0
367,AsatothAbaddon,682.0
368,handwerksblatt,6053.0
369,dvz_news,5010.0
370,rbb24,111269.0
371,Jaster19679681,4.0
372,bdew_ev,11947.0
373,verbaende,4134.0
374,jstammi,32.0
375,Solarserver,8408.0
376,pfbits,394.0
377,CptKrustenkaese,2735.0
378,WestnetzGmbH,982.0
379,JoHergesell,72.0
380,weltenbaeume,75.0
381,dr_boese,958.0
382,Johannes0105,597.0
383,eigentlichwari1,19.0
384,SaltoBz,5736.0
385,kramkr,890.0
386,RolfUweHarnisch,38.0
387,tilgoepfert,8.0
388,musicandscifi,1540.0
389,PhilippEsche,497.0
390,gwendolan1,1336.0
391,RobertBoni6,2002.0
392,Elektro_Robin,8566.0
393,voltampere1,92.0
394,Argbeil,186.0
395,Timo_u_de,285.0
396,schobbestescher,24.0
397,bitpertinax,37.0
398,gustafgans74,70.0
399,Shenkuizen,32.0
400,axelwagnernet,808.0
401,bahamut8811,66.0
402,HolgerSmmer1,23.0
403,UliMolter,1408.0
404,Tombrones,21.0
405,Kanone0815,7.0
406,Birkolo,389.0
407,AannKrieger,27.0
408,Pelle_HB,32.0
409,polterfisch1,52.0
410,feste_burg,455.0
411,FauchiOuchi2,3.0
412,hschwe3449,96.0
413,Hans_Meier04,28.0
414,vincealde1,24.0
