,users,follower_count
0,ReinerKurzmann,114
1,na_presseportal,6641
2,SmartHomeEU1,977
3,EPhisoloph,11
4,Amie42,598
5,verkehrswendeb2,95
6,PTNisWarCrmnl,194
7,rouTfuAeiropA,160
8,GruenUrsula,1289
9,Elbeelfe,301
10,OxKing,710
11,FamagustaG,34
12,Baeumleschule,366
13,EggMarkus,835
14,abbdeutschland,7051
15,energie_rlp,1630
16,ReegerLothar,0
17,skippertom3,1
18,manuel01St,27
19,RenatoRavioli,6
20,joschtl,330
21,Redaktion_GEB,1470
22,christianknol13,14
23,mikenolte_de,1139
24,franke_karsten,53
25,Acostard,43
26,martin_kraft,629
27,SaschaPPP,8
28,TKornetto,4
29,designmobility,1885
30,bmzimmermann,2394
31,Andreas88730797,1
32,ChPeter_AT,222
33,troy_mc_clure,103
34,TorstenGajda,1208
35,fancyPT,29
36,DanielaKeusen,54
37,TTinaani,59
38,DeTottel,679
39,marzlberger,17
40,SimonTschannett,1726
41,MScHome,356
42,cruzii1337,11
43,consolinno,51
44,Mingiam10,1055
45,USchwart,340
46,xberg_edge,571
47,Zeitwort_,52
48,DerDienstreiser,69
49,slaue,14
50,ropietsch,3533
51,benjiButo,101
52,qualityofdeath,1057
53,mamuente,238
54,RaddatzWWF,1543
55,stang2k,6354
56,ElectriveNet,9716
57,elektrologisch,310
58,Alexand59722739,212
59,DominicMuenster,74
60,Klarname_LLL,9
61,FreakeyDE,14
62,bremerhaven_de,3663
63,FreieWeltEu,689
64,Giefers,500
65,CanniST448,11
66,FrauDoktorX,650
67,derjebby,38
68,mainpcerlenbach,646
69,BaumbergOwl,1881
70,Stolen42,46
71,Rufus_CDR,1096
72,clrleopold,9
73,tobiasanton,5
74,gulliver_77,215
75,we_drive_at,1035
76,KDoofen,87
77,TruckerMagazin,435
78,dozykraut,564
79,andee_0711,1192
80,EvilLauge,1551
81,HerrPfarrerin,1553
82,StadtwerkeKiel,1673
83,mackel_eu,21
84,JobsBrandenburg,449
85,die20er_innen,968
86,Raupe3,390
87,SPOE_Diesel,3408
88,geekodernerd,1077
89,robbie_da1,50
90,phantomthk,526
91,bierino,943
92,frank_reddy,4
93,Taunus_Larry,50
94,LudkeThomas,152
95,cyclinghanover,324
96,bikezebub,271
97,eejobs_de,709
98,IngoHeinscher,235
99,bring_auf_die,60
100,giesion,95
101,AlexStuckHolz,365
102,hartezeit,
103,BHNNKMP,650
104,sofarevoluzzer,18
105,VengeanceDE,39
106,2lievres,133
107,friemel_backe,929
108,Brummelbr1,174
109,TanteJu5,689
110,ohoerl,3189
111,toberg2,833
112,_Logistra_,2932
113,vr_online,5149
114,Papabasti85,161
115,EinRobert1,750
116,0xdeef,70
117,schundiels,457
118,MoranagaAkio,46
119,ehwurschd,475
120,jwag82,81
121,StiMaPla,824
122,eautonews,5325
123,kkklawitter,39866
124,KielerYung,2
125,AndyAmmerland,175
126,doktorhulk,2425
127,DrehnowF,63
128,auto_swiss,1039
129,ingo_werner,40
130,Cleanthinking,7629
131,b2charge,166
132,a_eigel,165
133,pingponguin,157
134,Juergen_Kaiser,1328
135,ChristophHorst3,257
136,normschumann,574
137,efoolution,178
138,AZHamburg,129
139,cl1505,7
140,SpacesShuttle,
141,schoenix,101
142,Zahn_des_Loewen,209
143,IvokainKrieg,1292
144,wunderlicher,790
145,U_K_Chris,22
146,Goldregen7,22
147,SoerenLorensen,2691
148,wolfheilmann,1544
149,peroneus,5
150,alwayssimifuzi,251
151,ZoeUpgraded,149
152,MKrassowsky,57
153,ThorstenRinne,1049
154,TC_Roszak,185
155,shortymatic,4423
156,mobiFlip,12712
157,JohnnyMaxw311,186
158,radiermann,975
159,unsinn_s21,36
160,chriflu1,70
161,Rabbit__Junk,0
162,AHornheim,269
163,TomHS10,22
