id,duration,views,likes,dislikes,favorites,comments
rpFKN1voIZw,PT43M50S,293477,2671,1425,0,1814
sOESZIQz-lA,PT29M41S,87081,947,211,0,1110
JoBK2qiI4l4,PT14M37S,59618,980,464,0,1271
c4XW77JiU-8,PT17M21S,14417,689,7,0,60
QpqOikc-_pI,PT9M16S,410842,10967,587,0,1302
cLvp1uc49yk,PT15M22S,136335,3254,196,0,477
fv9Qfl-GdZE,PT1H6M9S,104397,2766,105,0,607
4-E6OGuca2Q,PT27M19S,516561,10282,2223,0,2505
MTw0WdY2f9w,PT10M45S,21818,573,58,0,160
G3iKJ4IMick,PT19M45S,4550283,91686,4015,0,16476
eKmOj8yFSzo,PT15M59S,6940,154,57,0,86
ijOuBrLEsQk,PT7M40S,75757,2029,756,0,691
UIPXn9zsGrY,PT11M9S,20408,585,412,0,194
RB-TeOTxqkY,PT11M30S,876861,9391,879,0,1082
10-Y4mMF-0k,PT21M24S,166904,1838,159,0,221
9FwA-h-wZd4,PT30M24S,310614,13638,542,0,1499
UenJ7YVHRb0,PT1H4M49S,364620,12107,1098,0,3802
3PdM11LhMuE,PT5M41S,2451,191,20,0,37
31wKuQg9tUo,PT16M50S,68183,3764,46,0,598
hzf7kchBLao,PT5M31S,143802,3431,231,0,653
4iM3ABFXIhE,PT36M32S,99027,748,89,0,549
w0uUKHxxCu4,PT48M12S,315498,18061,1347,0,3404
dRUbqJFD_EQ,PT10M55S,151640,3581,812,0,1679
h8yndNq7jEk,PT3M20S,35427,279,13,0,76
4L91RQS6vJc,PT21M37S,80190,3509,203,0,645
3QxopgFfbnk,PT20M11S,17491,767,53,0,229
Y45xldthGXo,PT6M19S,8846,73,30,0,14
qXXdanlJQ1c,PT25M34S,328343,5605,294,0,1102
Fz_oQtF2lgU,PT34M34S,533968,18862,668,0,5608
AZ5seZPD74c,PT28M9S,181238,8255,1190,0,2994
iu7A_Ai_mIE,PT8M49S,23027,598,39,0,112
-orKmOSYErA,PT56M30S,231719,5125,462,0,1797
tZ1FR595LQ8,PT41M10S,143604,7528,670,0,3032
b6V0XVtW3uM,PT20M10S,155407,3200,137,0,349
t1Xic_1vc8c,PT10M7S,148,20,0,0,9
tRgz-xKUduI,PT15M19S,82182,1544,78,0,162
RO6RPUpjW1c,PT21M23S,40446,1556,50,0,91
weEDGoeCbgQ,PT27M39S,379254,8079,567,0,1171
JyYovzmqEUw,PT5M,182582,2393,441,0,899
oKDrVfZxyss,PT28M30S,87926,3988,92,0,1179
kLMEB3eSIvk,PT13M,23002,651,50,0,85
nQ22tWUpTVA,PT13M46S,13807,646,34,0,137
m_Y744BrW4o,PT2M2S,29188,38,10,0,6
-2BBDahWdfE,PT50M36S,239826,10784,541,0,1970
q6gCdCC-HWo,PT1H28M45S,18439,216,106,0,117
Re2vEqN6TOs,PT37M5S,97928,7983,353,0,1437
pgbMYr0qfXM,PT34M53S,161884,2794,152,0,599
7heZjE8rTLo,PT13M1S,2048,124,2,0,19
T1B17uhE90c,PT10M46S,1665,80,21,0,30
7m5-2LGFLkU,PT28M29S,23674,1724,81,0,312
